month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
2025-01,0.07419982051237488,0.9940179640539353,1.0770219950827535,-0.1037172428382902,38.0,14,7.702199508275354,-10.371724283829021
2025-02,0.04117987442362805,1.0705792107934662,1.1222994881145187,-0.029072921447164446,26.0,12,4.203952494794327,-2.9072921447164446
2025-03,0.01046578728775785,1.1155858522343676,1.1341069150649714,-0.07030805819886687,26.0,12,1.0520745198137282,-7.030805819886687
2025-04,0.09916543064068511,1.1273226467323723,1.2523363826944787,-0.24013636095491786,64.0,16,10.424896106266491,-24.013636095491787
2025-05,0.15477766715562694,1.2448448614366356,1.4619754659342719,-0.08300326339119901,40.0,12,16.7398381247011,-8.300326339119902
2025-06,0.058279253851494274,1.4532298761447884,1.5497100266850612,-0.17503048652842468,40.0,12,6.0010966527897835,-17.503048652842466
2025-07,0.036088919793999565,1.5404396055994543,1.6066588169481844,-0.1182386014501321,40.0,12,3.6748029813642447,-11.82386014501321
2025-08,0.047528035729256714,1.5970477261521385,1.684863900616737,-0.12436437468723305,40.0,12,4.867560109438873,-12.436437468723305
2025-09,0.02475088056740265,1.6747849841990208,1.727086129015244,-0.1823306127817419,52.0,14,2.5059726416508665,-18.23306127817419
2025-10,0.0831943985117958,1.716754637709525,1.8769161203766003,-0.133300646806502,40.0,12,8.675305119078613,-13.3300646806502
2025-11,0.17421956006390363,1.865688340676759,2.2341249464022686,-0.10460062602419462,32.0,12,19.03168831828217,-10.460062602419463
2025-12,0.19439585874307144,2.22076033066489,2.7135167498350716,-0.12246046161418878,32.0,12,21.457698872428498,-12.246046161418878
2026-01,0.07532207711615072,2.6972843950973098,2.925798878936931,-0.19419284318939956,40.0,12,7.823136861593438,-19.419284318939955
2026-02,0.026016771804499288,2.9082966448721743,3.0029175603745655,-0.14614686152097323,52.0,14,2.6358162207531732,-14.614686152097322
2026-03,0.15858457851756927,2.984953999585336,3.5189720465114283,-0.11973711933955722,32.0,12,17.185103345710683,-11.973711933955721
2026-04,0.10807075985586326,3.497921429236,3.9205802843750255,-0.08703577666366202,32.0,12,11.412657803341641,-8.703577666366202
2026-05,0.09770140363946925,3.897127232184461,4.3229631359002765,-0.10321939550620862,32.0,12,10.263349360014317,-10.321939550620861
2026-06,0.35209662063157326,4.297103015027808,6.147452072665634,-0.17883147216688866,40.0,12,42.20459160555387,-17.883147216688865
