timestamp,close,target_position,active_position,candidate_version
2025-01-01 00:00:00+00:00,93631.2,6.0,0.0,strategy_1_candidate_20260627
2025-01-01 00:15:00+00:00,93743.3,6.0,6.0,strategy_1_candidate_20260627
2025-01-01 00:30:00+00:00,93857.1,6.0,6.0,strategy_1_candidate_20260627
2025-01-01 00:45:00+00:00,94363.6,6.0,6.0,strategy_1_candidate_20260627
2025-01-01 01:00:00+00:00,94116.3,0.25,6.0,strategy_1_candidate_20260627
2025-01-01 01:15:00+00:00,93800.0,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 01:30:00+00:00,93892.1,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 01:45:00+00:00,93588.0,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 02:00:00+00:00,93768.0,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 02:15:00+00:00,93719.6,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 02:30:00+00:00,93907.3,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 02:45:00+00:00,94064.4,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 03:00:00+00:00,93938.2,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 03:15:00+00:00,93800.0,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 03:30:00+00:00,93821.6,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 03:45:00+00:00,93810.0,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 04:00:00+00:00,93686.5,0.25,0.25,strategy_1_candidate_20260627
2025-01-01 04:15:00+00:00,93710.3,-0.25,0.25,strategy_1_candidate_20260627
2025-01-01 04:30:00+00:00,93613.6,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 04:45:00+00:00,93545.0,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 05:00:00+00:00,93612.7,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 05:15:00+00:00,93866.8,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 05:30:00+00:00,93826.1,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 05:45:00+00:00,93760.0,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 06:00:00+00:00,93580.1,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 06:15:00+00:00,93633.7,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 06:30:00+00:00,93674.6,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 06:45:00+00:00,93734.2,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 07:00:00+00:00,93649.7,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 07:15:00+00:00,93759.7,-0.25,-0.25,strategy_1_candidate_20260627
2025-01-01 07:30:00+00:00,93715.3,-0.25,-0.25,strategy_1_candidate_20260627
