symbol,month,funding_mean_bps,funding_abs_mean_bps,funding_last_bps,funding_min_bps,funding_max_bps,funding_rows
ADAUSDT,2022-12,-0.005266666666666655,0.9946645161290324,-6.6137,-6.6137,1.0,93
ADAUSDT,2023-01,0.7079301075268818,0.9951774193548387,1.0,-2.8022,3.8884,93
ADAUSDT,2023-02,0.8628726190476191,0.9045559523809523,1.0,-1.7297999999999998,1.6389,84
ADAUSDT,2023-03,0.5329591397849462,0.8818129032258066,1.0,-3.9629,1.3161999999999998,93
ADAUSDT,2023-04,0.8223377777777778,0.8334822222222221,0.7774,-0.1827,1.0,90
ADAUSDT,2023-05,0.6602505376344087,0.788990322580645,1.0,-0.9458000000000001,1.0,93
ADAUSDT,2023-06,-0.3155822222222222,1.0852666666666666,1.0,-7.0382,1.0,90
ADAUSDT,2023-07,0.6200086021505377,0.8957870967741935,1.0,-2.1565000000000003,1.0,93
ADAUSDT,2023-08,0.17372688172043008,0.9326623655913978,-0.1184,-4.7631000000000006,1.0,93
ADAUSDT,2023-09,0.1599077777777778,0.8377988888888889,1.0,-3.1639,1.0,90
ADAUSDT,2023-10,0.5530881720430108,0.7732881720430108,1.0,-1.1015,1.0,93
ADAUSDT,2023-11,1.1079677777777779,1.1079677777777779,1.0,1.0,3.3273,90
ADAUSDT,2023-12,1.9786150537634408,1.9786150537634408,2.7245,1.0,7.081,93
ADAUSDT,2024-01,1.193531182795699,1.193531182795699,1.0,1.0,5.8523,93
ADAUSDT,2024-02,2.2696287356321836,2.2696287356321845,8.5186,0.8992000000000001,10.3289,87
ADAUSDT,2024-03,3.9758032258064517,3.9758032258064513,5.376899999999999,1.0,11.208699999999999,93
ADAUSDT,2024-04,0.9612355555555556,1.0568177777777779,-0.6743,-1.6374,5.1829,90
ADAUSDT,2024-05,0.7309118279569893,0.7854193548387096,1.0,-0.8174999999999999,1.2429,93
ADAUSDT,2024-06,0.9286266666666667,1.0329222222222223,1.0,-1.3742999999999999,2.4194,90
ADAUSDT,2024-07,0.6767924731182795,0.8397150537634408,0.15,-1.627,1.0,93
ADAUSDT,2024-08,0.31906451612903225,0.5175311827956989,0.6536,-1.8201,1.0,93
ADAUSDT,2024-09,0.5378788888888889,0.6958522222222222,1.0,-1.1362999999999999,1.0,90
ADAUSDT,2024-10,0.7410107526881721,0.7959182795698925,1.0,-0.6613000000000001,1.0,93
ADAUSDT,2024-11,1.490531111111111,1.4905311111111113,1.3931,0.2818,4.8263,90
ADAUSDT,2024-12,1.4938720430107528,1.5182806451612902,1.0,-0.4523,6.1939,93
ADAUSDT,2025-01,0.9273827956989248,0.9273827956989248,1.0,0.0944,1.0,93
ADAUSDT,2025-02,0.02948214285714286,0.6502345238095237,0.1721,-2.5831,1.0,84
ADAUSDT,2025-03,-0.3661290322580645,1.026920430107527,-0.8993,-3.3448,1.0,93
ADAUSDT,2025-04,0.06595222222222222,0.7562055555555555,-1.335,-2.1893,1.0,90
ADAUSDT,2025-05,0.32878602150537634,0.7858806451612902,-0.5957,-2.3499,1.0,93
ADAUSDT,2025-06,0.31464888888888887,0.6966644444444443,-0.2251,-2.9859999999999998,1.0,90
ADAUSDT,2025-07,0.8074258064516129,0.9143849462365592,0.6453,-2.0049,1.0,93
ADAUSDT,2025-08,0.6494666666666666,0.8123354838709678,1.0,-2.0156,1.0205,93
ADAUSDT,2025-09,0.7487088888888889,0.7701555555555555,0.5281,-0.35,1.0,90
ADAUSDT,2025-10,0.2990430107526882,0.6974086021505376,-0.2026,-3.3406000000000002,1.0,93
ADAUSDT,2025-11,0.4469066666666667,0.6291088888888889,1.0,-0.9716,1.0,90
ADAUSDT,2025-12,0.2347236559139785,0.6443129032258065,-0.2629,-2.0461,1.0,93
ADAUSDT,2026-01,0.41445913978494625,0.683551612903226,0.1343,-1.9458,1.0,93
ADAUSDT,2026-02,-0.2817452380952381,0.6950833333333334,-0.2617,-3.6497,1.0,84
ADAUSDT,2026-03,-0.2677709677419355,0.9355516129032257,-0.21039999999999998,-2.8771,1.0,93
ADAUSDT,2026-04,0.17137555555555556,0.888328888888889,-0.047,-3.132,1.0,90
ADAUSDT,2026-05,0.2613548387096774,0.5947010752688171,-0.1431,-1.7526,1.0,93
AVAXUSDT,2022-12,-0.19816129032258062,0.8514236559139785,-0.3388,-4.0339,1.0,93
AVAXUSDT,2023-01,1.0183204301075268,1.2312946236559141,1.0,-4.4601,4.6904,93
AVAXUSDT,2023-02,0.9974821428571429,1.028367857142857,1.0,-0.5856,6.4049,84
AVAXUSDT,2023-03,0.6069182795698924,0.9520215053763442,1.0,-5.453399999999999,1.7393,93
AVAXUSDT,2023-04,0.8854711111111112,1.0164155555555556,0.599,-1.8232,5.6245,90
AVAXUSDT,2023-05,0.4314731182795699,0.6873548387096775,0.7884,-1.5008,1.0,93
AVAXUSDT,2023-06,-0.08783111111111111,1.2190200000000002,1.0,-6.2672,1.0,90
AVAXUSDT,2023-07,0.6723763440860215,0.8479118279569892,-0.3648,-1.7834,1.0,93
AVAXUSDT,2023-08,-0.3928548387096774,1.0772634408602149,-0.5581,-10.4211,1.0,93
AVAXUSDT,2023-09,-0.2593722222222222,0.8864166666666667,0.9778,-4.000900000000001,1.0,90
AVAXUSDT,2023-10,0.6301172043010753,0.7332956989247312,1.0,-1.1178000000000001,1.8155999999999999,93
AVAXUSDT,2023-11,1.3682644444444445,1.3682644444444445,1.0,1.0,4.1209,90
AVAXUSDT,2023-12,2.299022580645161,2.2990225806451616,4.2908,1.0,8.2332,93
AVAXUSDT,2024-01,1.2955655913978494,1.2955655913978494,1.0,0.20959999999999998,7.3814,93
AVAXUSDT,2024-02,2.0922632183908045,2.0922632183908045,9.1333,0.6535000000000001,9.1333,87
AVAXUSDT,2024-03,4.548854838709677,4.548854838709677,6.2951,1.0,14.3701,93
AVAXUSDT,2024-04,0.7624744444444443,1.0237077777777779,0.1566,-1.3462,8.3806,90
AVAXUSDT,2024-05,0.8199903225806452,0.8538440860215054,1.0,-1.0209,1.6972,93
AVAXUSDT,2024-06,0.917328888888889,1.0008244444444445,1.0,-1.1542000000000001,2.4564,90
AVAXUSDT,2024-07,0.038188172043010754,0.8668698924731182,-1.0684,-3.9414000000000002,1.0,93
AVAXUSDT,2024-08,-1.070601075268817,1.2286849462365594,0.5589000000000001,-4.5507,0.7855,93
AVAXUSDT,2024-09,-0.06120333333333334,0.781318888888889,0.41300000000000003,-3.164,1.0,90
AVAXUSDT,2024-10,-0.1217516129032258,0.8656698924731183,-1.3588,-4.5386999999999995,1.0,93
AVAXUSDT,2024-11,1.0398333333333332,1.458668888888889,2.4661000000000004,-4.4336,4.9131,90
AVAXUSDT,2024-12,1.312225806451613,1.3758344086021506,1.0,-1.0293,5.082599999999999,93
AVAXUSDT,2025-01,0.7555731182795699,0.8607000000000002,1.0,-1.5342,1.0,93
AVAXUSDT,2025-02,-0.15663214285714286,0.7235488095238095,0.08199999999999999,-3.7199,1.0,84
AVAXUSDT,2025-03,-0.41004946236559137,0.9437397849462364,-1.3575,-4.1857999999999995,1.0,93
AVAXUSDT,2025-04,-0.47385333333333335,0.9773266666666667,-1.5933000000000002,-3.0170000000000003,1.0,90
AVAXUSDT,2025-05,0.142752688172043,0.7994967741935486,-0.9842,-2.5091,1.0,93
AVAXUSDT,2025-06,0.07471777777777777,0.5678288888888888,0.6213000000000001,-2.0285,1.0,90
AVAXUSDT,2025-07,0.6808,0.8541161290322581,-0.2256,-1.3936,1.0,93
AVAXUSDT,2025-08,0.6572225806451613,0.8136118279569892,1.0,-1.6208,1.0,93
AVAXUSDT,2025-09,0.6064944444444444,0.7403099999999999,-0.0612,-1.0841,1.0,90
AVAXUSDT,2025-10,-0.4106043010752688,1.1897634408602151,-1.6495,-6.627999999999999,1.0,93
AVAXUSDT,2025-11,-0.9465955555555556,1.407937777777778,-2.221,-5.142499999999999,1.0,90
AVAXUSDT,2025-12,-0.4412709677419354,1.0924365591397847,-0.485,-4.8547,1.0,93
AVAXUSDT,2026-01,-0.313347311827957,0.8929602150537634,-0.9802,-4.0579,1.0,93
AVAXUSDT,2026-02,-0.4129321428571428,0.8255011904761903,-0.7364,-2.7652,1.0,84
AVAXUSDT,2026-03,0.10893655913978495,0.7487129032258065,0.5153,-2.4677,1.0,93
AVAXUSDT,2026-04,0.19005555555555556,0.8149533333333334,-0.1738,-3.9068,1.0,90
AVAXUSDT,2026-05,0.27856989247311825,0.625316129032258,0.2459,-2.0803,1.0,93
DOGEUSDT,2022-12,0.22333978494623655,0.5644344086021506,-0.0053,-2.42,1.0,93
DOGEUSDT,2023-01,1.3235,1.3235,1.0,0.10740000000000001,8.241999999999999,93
DOGEUSDT,2023-02,0.9516369047619048,1.0117583333333333,1.0,-0.6187,4.9987,84
DOGEUSDT,2023-03,0.7662505376344086,0.8753301075268818,1.0,-2.3731,3.5006000000000004,93
DOGEUSDT,2023-04,0.8619755555555555,0.9191244444444444,1.0,-0.8627999999999999,2.9736,90
DOGEUSDT,2023-05,0.7095225806451614,0.8090817204301076,0.7972,-1.9397,1.0,93
