month,symbol,rule,return_pct,prev_month,prev_funding_mean_bps,prev_funding_abs_mean_bps,prev_funding_abs_rank,prev_funding_mean_rank
2023-01,SOLUSDT,symbol_momentum,123.6713264470453,2022-12,-3.219341935483871,3.6248774193548394,1,7
2023-02,SOLUSDT,symbol_momentum,126.37994658308864,2023-01,-3.6608752688172044,5.327320430107527,1,7
2023-03,SOLUSDT,symbol_reversal,161.52290937096728,2023-02,0.29105,1.187004761904762,1,7
2023-04,SOLUSDT,symbol_reversal,111.07840259872836,2023-03,0.12962903225806452,0.9866139784946236,1,7
2023-06,XRPUSDT,symbol_reversal,150.6365075371571,2023-05,0.36476021505376344,0.8158978494623657,2,7
2023-07,XRPUSDT,symbol_momentum,250.96480401943407,2023-06,0.15291222222222223,0.91963,4,4
2023-08,ADAUSDT,symbol_reversal,66.86847747284112,2023-07,0.6200086021505377,0.8957870967741935,1,6
2023-09,LINKUSDT,symbol_momentum,163.131891204675,2023-08,0.6358709677419355,0.8037268817204302,4,1
2023-10,SOLUSDT,symbol_momentum,319.5755017664935,2023-09,-0.7075277777777778,0.9881366666666667,1,7
2023-11,AVAXUSDT,symbol_momentum,196.36271863078653,2023-10,0.6301172043010753,0.7332956989247312,5,3
2023-12,LINKUSDT,symbol_reversal,217.7691746695851,2023-11,1.3176944444444445,1.3176944444444445,5,4
2024-01,SOLUSDT,symbol_reversal,217.1398564736936,2023-12,2.2908967741935484,2.2908967741935484,3,3
2024-02,ETHUSDT,symbol_momentum,216.89263136945104,2024-01,1.244583870967742,1.244583870967742,5,5
2024-03,AVAXUSDT,symbol_reversal,234.56228936700305,2024-02,2.0922632183908045,2.0922632183908045,4,4
2024-04,DOGEUSDT,symbol_momentum,218.3342921608589,2024-03,4.179695698924731,4.17969569892473,4,4
2024-05,ETHUSDT,symbol_momentum,88.13164430955676,2024-04,0.9303188888888889,0.9360988888888888,7,5
2024-06,AVAXUSDT,symbol_momentum,83.69628905387508,2024-05,0.8199903225806452,0.8538440860215054,4,4
2024-07,LINKUSDT,symbol_reversal,118.95048668824852,2024-06,0.8467933333333333,0.9340911111111112,7,7
2024-08,AVAXUSDT,symbol_momentum,60.17941264695368,2024-07,0.038188172043010754,0.8668698924731182,1,7
2024-09,ADAUSDT,symbol_momentum,69.33342017147805,2024-08,0.31906451612903225,0.5175311827956989,4,1
2024-10,LINKUSDT,symbol_reversal,60.29111392262767,2024-09,0.5472899999999999,0.6673122222222222,4,1
2024-11,XRPUSDT,symbol_momentum,5933.561822805518,2024-10,0.8731720430107527,0.8820215053763442,1,1
2024-12,XRPUSDT,symbol_reversal,597.8761175886285,2024-11,1.6025033333333334,1.6025033333333334,4,4
2025-01,SOLUSDT,symbol_momentum,175.07758519164872,2024-12,1.0837548387096774,1.3118172043010754,5,7
2025-02,DOGEUSDT,symbol_momentum,151.43944784456326,2025-01,0.38133118279569894,0.6984924731182796,6,6
2025-03,ADAUSDT,symbol_momentum,778.8300334125375,2025-02,0.02948214285714286,0.6502345238095237,4,5
2025-04,AVAXUSDT,symbol_reversal,116.85778049209236,2025-03,-0.41004946236559137,0.9437397849462364,2,7
2025-05,DOGEUSDT,symbol_momentum,138.13466679897877,2025-04,0.3513366666666667,0.5981388888888889,6,2
2025-06,ETHUSDT,symbol_reversal,99.25511697986651,2025-05,0.5569397849462365,0.6069462365591397,7,1
2025-07,XRPUSDT,symbol_momentum,253.56254993866733,2025-06,0.47591333333333335,0.6311488888888889,2,1
2025-08,LINKUSDT,symbol_momentum,183.9342643479445,2025-07,0.8121720430107526,0.877952688172043,3,2
2025-09,AVAXUSDT,symbol_reversal,73.42191743939996,2025-08,0.6572225806451613,0.8136118279569892,1,2
2025-10,AVAXUSDT,symbol_momentum,247.2500366377368,2025-09,0.6064944444444444,0.7403099999999999,3,4
2025-11,AVAXUSDT,symbol_momentum,139.2775771803728,2025-10,-0.4106043010752688,1.1897634408602151,2,6
2025-12,LINKUSDT,symbol_reversal,95.2543900795518,2025-11,0.5053633333333334,0.7074811111111111,2,1
2026-01,AVAXUSDT,symbol_momentum,210.406063235613,2025-12,-0.4412709677419354,1.0924365591397847,1,7
2026-02,SOLUSDT,symbol_momentum,90.10700328812976,2026-01,0.18889462365591397,0.5921397849462365,5,5
2026-03,ETHUSDT,symbol_reversal,159.6137214262123,2026-02,-0.36582380952380955,0.6028333333333334,5,4
2026-04,AVAXUSDT,symbol_reversal,134.53568781762982,2026-03,0.10893655913978495,0.7487129032258065,3,2
2026-05,ADAUSDT,symbol_momentum,25.642113970043635,2026-04,0.17137555555555556,0.888328888888889,1,4
