symbol,timestamp,funding_interval_hours,funding_rate
ADAUSDT,2022-12-30 08:00:00+00:00,8,-0.00015218
ADAUSDT,2022-12-30 16:00:00+00:00,8,3.536e-05
ADAUSDT,2022-12-31 00:00:00.014000+00:00,8,-4.595e-05
ADAUSDT,2022-12-31 08:00:00+00:00,8,-3.622e-05
ADAUSDT,2022-12-31 16:00:00+00:00,8,-0.00066137
ADAUSDT,2023-01-01 00:00:00+00:00,8,-7.036e-05
ADAUSDT,2023-01-01 08:00:00.008000+00:00,8,-1.809e-05
ADAUSDT,2023-01-01 16:00:00+00:00,8,-0.00028022
ADAUSDT,2023-01-02 00:00:00+00:00,8,-0.00013088
ADAUSDT,2023-01-02 08:00:00.008000+00:00,8,-0.00010514
ADAUSDT,2023-01-02 16:00:00.015000+00:00,8,-0.00017092
ADAUSDT,2023-01-03 00:00:00.003000+00:00,8,-1.26e-06
ADAUSDT,2023-01-03 08:00:00.018000+00:00,8,6.365e-05
ADAUSDT,2023-01-03 16:00:00+00:00,8,-1.873e-05
ADAUSDT,2023-01-04 00:00:00+00:00,8,9.699e-05
ADAUSDT,2023-01-04 08:00:00.016000+00:00,8,7.923e-05
ADAUSDT,2023-01-04 16:00:00.011000+00:00,8,3.11e-05
ADAUSDT,2023-01-05 00:00:00.009000+00:00,8,-7.452e-05
ADAUSDT,2023-01-05 08:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-01-05 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-06 00:00:00.005000+00:00,8,-3.98e-06
ADAUSDT,2023-01-06 08:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-01-06 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-07 00:00:00.006000+00:00,8,6.961e-05
ADAUSDT,2023-01-07 08:00:00.017000+00:00,8,6.965e-05
ADAUSDT,2023-01-07 16:00:00+00:00,8,1.35e-05
ADAUSDT,2023-01-08 00:00:00.015000+00:00,8,-0.00022097
ADAUSDT,2023-01-08 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-08 16:00:00.010000+00:00,8,-1.834e-05
ADAUSDT,2023-01-09 00:00:00.003000+00:00,8,-0.00022229
ADAUSDT,2023-01-09 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-09 16:00:00.006000+00:00,8,0.0001
ADAUSDT,2023-01-10 00:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-01-10 08:00:00.021000+00:00,8,0.0001
ADAUSDT,2023-01-10 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-11 00:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-01-11 08:00:00.006000+00:00,8,0.0001
ADAUSDT,2023-01-11 16:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-01-12 00:00:00+00:00,8,0.0001
ADAUSDT,2023-01-12 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-12 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-13 00:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-01-13 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-13 16:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-01-14 00:00:00+00:00,8,0.0001
ADAUSDT,2023-01-14 08:00:00.001000+00:00,8,0.00038884
ADAUSDT,2023-01-14 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-15 00:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-01-15 08:00:00.002000+00:00,8,0.0001
ADAUSDT,2023-01-15 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-16 00:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-01-16 08:00:00.007000+00:00,8,0.0001
ADAUSDT,2023-01-16 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-17 00:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-01-17 08:00:00.005000+00:00,8,0.0001
ADAUSDT,2023-01-17 16:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-01-18 00:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-01-18 08:00:00.009000+00:00,8,0.0001
ADAUSDT,2023-01-18 16:00:00.017000+00:00,8,0.0001
ADAUSDT,2023-01-19 00:00:00+00:00,8,0.0001
ADAUSDT,2023-01-19 08:00:00.015000+00:00,8,0.0001
ADAUSDT,2023-01-19 16:00:00.012000+00:00,8,0.0001
ADAUSDT,2023-01-20 00:00:00+00:00,8,0.0001
ADAUSDT,2023-01-20 08:00:00+00:00,8,0.0001
