cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,guard_reason_counts
0.001,0.002,0,True,350.17171925447406,256.4432711297096,256.4432711297096,5.8786004289359095,0,11,1504.6068018115054,-32.66598420374073,35.18302180685358,872.5999999999999,270,2,2,111,0,"{'post_lock_flat': 33290, 'main': 12741, 'post_lock_runner': 4053, 'strong_conflict_small_trend': 1189, 'weak_new_order_small': 87}"
0.0015,0.003,0,True,297.69105131853485,195.71443211963793,195.71443211963793,4.413194843374746,0,11,1076.0298339972173,-34.137743115536146,36.02219626168225,936.2,274,2,2,113,0,"{'post_lock_flat': 32859, 'main': 13170, 'post_lock_runner': 4053, 'strong_conflict_small_trend': 1189, 'weak_new_order_small': 89}"
0.002,0.004,0,False,108.40368424775532,201.6881982403869,108.40368424775532,-36.96985784535959,1,11,528.7293200736399,-51.80956933184277,40.23948598130841,1141.7,294,2,2,120,0,"{'post_lock_flat': 30693, 'main': 15423, 'post_lock_runner': 3957, 'strong_conflict_small_trend': 1189, 'weak_new_order_small': 98}"
0.001,0.002,1,True,409.0758381924916,283.6166653203042,283.6166653203042,8.041664810114945,0,11,1852.899754425433,-33.51202492292508,35.85280373831775,876.8,274,2,2,113,0,"{'post_lock_flat': 32946, 'main': 13084, 'post_lock_runner': 4051, 'strong_conflict_small_trend': 1190, 'weak_new_order_small': 89}"
0.0015,0.003,1,False,153.00429019106275,240.6984616946016,153.00429019106275,-33.773590522586986,1,11,761.9817247022949,-48.47715676237316,39.731308411214954,1060.3,292,2,2,120,0,"{'post_lock_flat': 30954, 'main': 15163, 'post_lock_runner': 3955, 'strong_conflict_small_trend': 1190, 'weak_new_order_small': 98}"
