year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,1.5044589223294191,350.17171925447406,12,0,5.8786004289359095,11,176,-32.66598420374073
2026,1.2710049139382809,256.4432711297096,6,0,12.529107609230984,11,94,-29.252496952297058
