symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,99635.81700000,6392531157.06290150,20046103.00000000,1782119700000
BTCUSDT,99663.11400000,6387304705.78103400,20046103.00000000,1782120600000
BTCUSDT,99642.47300000,6386920359.11769400,20046103.00000000,1782121500000
BTCUSDT,99650.45700000,6389505131.65113100,20046103.00000000,1782122400000
BTCUSDT,99610.27300000,6393674632.02370000,20046103.00000000,1782123300000
