check_id,ok,http_status,row_count,first_timestamp,last_timestamp,error,sample_rows
historical_2020_01,False,400,0,,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}",[]
historical_2023_01,False,400,0,,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}",[]
baseline_end_2026_05,True,200,97,2026-05-31T00:00:00+00:00,2026-06-01T00:00:00+00:00,,"[{'symbol': 'BTCUSDT', 'sumOpenInterest': '103974.85000000', 'sumOpenInterestValue': '7678916981.96000000', 'CMCCirculatingSupply': '20036315.00000000', 'timestamp': 1780185600000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '104005.89200000', 'sumOpenInterestValue': '7681074337.75160000', 'CMCCirculatingSupply': '20036315.00000000', 'timestamp': 1780186500000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '104052.53000000', 'sumOpenInterestValue': '7693997846.80200000', 'CMCCirculatingSupply': '20036315.00000000', 'timestamp': 1780187400000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '104041.63200000', 'sumOpenInterestValue': '7690538950.01280000', 'CMCCirculatingSupply': '20036315.00000000', 'timestamp': 1780188300000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '104094.48100000', 'sumOpenInterestValue': '7703366334.13160000', 'CMCCirculatingSupply': '20036315.00000000', 'timestamp': 1780189200000}]"
recent_latest,True,200,500,2026-06-22T09:15:00+00:00,2026-06-27T14:00:00+00:00,,"[{'symbol': 'BTCUSDT', 'sumOpenInterest': '99635.81700000', 'sumOpenInterestValue': '6392531157.06290150', 'CMCCirculatingSupply': '20046103.00000000', 'timestamp': 1782119700000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '99663.11400000', 'sumOpenInterestValue': '6387304705.78103400', 'CMCCirculatingSupply': '20046103.00000000', 'timestamp': 1782120600000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '99642.47300000', 'sumOpenInterestValue': '6386920359.11769400', 'CMCCirculatingSupply': '20046103.00000000', 'timestamp': 1782121500000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '99650.45700000', 'sumOpenInterestValue': '6389505131.65113100', 'CMCCirculatingSupply': '20046103.00000000', 'timestamp': 1782122400000}, {'symbol': 'BTCUSDT', 'sumOpenInterest': '99610.27300000', 'sumOpenInterestValue': '6393674632.02370000', 'CMCCirculatingSupply': '20046103.00000000', 'timestamp': 1782123300000}]"
