year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,orders_min,orders_sum,max_drawdown_pct
2024,-0.5513954768075,-42.385474819700974,12,7,-21.718689699665205,26,693,-54.806186011613256
2025,-0.49572139235083834,-39.086867391918126,12,5,-25.369128942027498,38,626,-80.62033852725874
2026,-0.4965875902351832,-39.13960737358423,6,3,-35.017111210028965,22,394,-86.3934726764662
