month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
2024-01,-0.12203088171008437,1.0,0.885121034029399,-0.18591398621746957,111.0,111,-11.487896597060088,-18.591398621746958
2024-02,0.25929031810939995,0.8827303429979695,1.1471257160841435,-0.18719682775208424,26.0,26,29.60100053910164,-18.719682775208422
2024-03,-0.08613944793485756,1.1487226089152551,1.0524491674668541,-0.20856593359806386,66.0,66,-8.253371647920126,-20.856593359806386
2024-04,0.049461149482663155,1.0523075697013868,1.1058133614902388,-0.18398729108206568,52.0,52,5.0704770997945126,-18.398729108206567
2024-05,0.03669747177504947,1.1073323760140148,1.1471477105067056,-0.19371806757281984,32.0,32,3.7379136892289777,-19.371806757281984
2024-06,-0.17128341832710542,1.1465420161898074,0.9665668567881742,-0.25426798663256867,58.0,58,-15.741726376175846,-25.426798663256868
2024-07,0.09336089481568284,0.9624210164555216,1.061153035435838,-0.24297684371075878,78.0,78,9.785787499683817,-24.297684371075878
2024-08,-0.22735413506726254,1.0605472598399874,0.8453554840928951,-0.3775664955969493,26.0,26,-20.33613853390245,-37.756649559694935
2024-09,-0.24486130496547148,0.8443956489250771,0.6617553496436565,-0.494909281297902,54.0,54,-21.718689699665205,-49.4909281297902
2024-10,-0.07014815696677917,0.6629659000708172,0.6169251897613619,-0.5401850070592125,68.0,68,-6.7744310501508975,-54.01850070592125
2024-11,0.04651069889899543,0.6155264629241277,0.6462965583476028,-0.5233388677199626,38.0,38,4.760928727452729,-52.33388677199626
2024-12,-0.1148986649177303,0.6460569203133761,0.5761452518029899,-0.5480618601161326,84.0,84,-10.854352485485897,-54.806186011613256
2025-01,0.03365831439662431,0.5754999660762073,0.5958673746639874,-0.5716713192440788,72.0,72,3.4231164449032736,-57.167131924407876
2025-02,-0.2926159432262882,0.5941179938709351,0.4447010120620063,-0.6524985932897854,84.0,84,-25.369128942027498,-65.24985932897854
2025-03,0.043301872176824185,0.4428265091655809,0.4643804007357687,-0.6653024605678795,68.0,68,4.425307822555258,-66.53024605678795
2025-04,0.004156510437197473,0.4648287949803883,0.46631461973426125,-0.6968571731766227,40.0,40,0.4165160707531923,-69.68571731766227
2025-05,-0.19071576967960419,0.46582714111909634,0.38534721549230394,-0.702218104538159,54.0,54,-17.363256654508962,-70.2218104538159
2025-06,0.11236306048535474,0.38577969442415355,0.4311723295635401,-0.7103074052634952,40.0,40,11.891902219324946,-71.03074052634952
2025-07,-0.1465623730030656,0.4304082750334659,0.37239140821991845,-0.717572512594342,44.0,44,-13.632813915290775,-71.7572512594342
2025-08,0.032001304161078076,0.37384222131035616,0.38450114926339696,-0.7208251200236567,38.0,38,3.2518851875139365,-72.08251200236568
2025-09,-0.06410442457132487,0.3827360674971643,0.3606263401171106,-0.7262441776450625,62.0,62,-6.209294612519156,-72.62441776450626
2025-10,-0.23451654862909962,0.35956103730710465,0.28523853773863905,-0.7823222010909945,40.0,40,-20.90468554071513,-78.23222010909944
2025-11,0.05250628418496909,0.2849071050923971,0.3006155148438513,-0.8062033852725874,40.0,40,5.390918501798669,-80.62033852725874
2025-12,0.1548063209164963,0.29525526913928163,0.35094812124592345,-0.7772964979309838,44.0,44,16.743183208031056,-77.72964979309837
2026-01,0.018785875035767043,0.35133589063436627,0.3576033047972014,-0.741945506034037,46.0,46,1.8963439746167987,-74.1945506034037
2026-02,-0.43104620013371686,0.3541932168964556,0.23238095786562654,-0.8278177904449605,120.0,120,-35.017111210028965,-82.78177904449605
2026-03,0.0012983137657266042,0.231730606260795,0.23268285719974008,-0.8343729858799531,80.0,80,0.1299156939905899,-83.43729858799531
2026-04,-0.11443267178117474,0.23141215344301413,0.20752332162122716,-0.8376739732027901,50.0,50,-10.812801545115713,-83.76739732027902
2026-05,-0.13402903444799058,0.20718798864874952,0.18149256565044974,-0.859511976955095,76.0,76,-12.543532826777392,-85.95119769550949
2026-06,0.16283612732620537,0.18144570801825202,0.2135884045052991,-0.863934726764662,22.0,22,17.68438213423309,-86.3934726764662
