name,feature_set,max_depth,min_samples_leaf,position_scale,stop_loss,trailing_stop,take_profit,return_pct,max_drawdown_pct,trade_count,turnover
strategy_47_best,market_plus_time,5,3,0.8,,-0.1,0.2,-14.08748711743778,-36.307665743477436,13,83.2
strategy_47_market_only,market_only,6,3,0.65,,-0.08,0.5,-23.44271601859639,-46.38075485029623,13,67.60000000000001
