timestamp,symbol,funding_rate
2026-05-01 00:00:00+00:00,BTCUSDT,-3.746e-05
2026-05-01 08:00:00.005000+00:00,BTCUSDT,-1.81e-05
2026-05-01 16:00:00+00:00,BTCUSDT,-3.143e-05
2026-05-02 00:00:00.006000+00:00,BTCUSDT,-8.22e-06
2026-05-02 08:00:00+00:00,BTCUSDT,-5.103e-05
2026-05-02 16:00:00.010000+00:00,BTCUSDT,-2.54e-05
2026-05-03 00:00:00.005000+00:00,BTCUSDT,2.29e-05
2026-05-03 08:00:00.003000+00:00,BTCUSDT,-1.398e-05
2026-05-03 16:00:00+00:00,BTCUSDT,7.03e-06
2026-05-04 00:00:00+00:00,BTCUSDT,4.304e-05
2026-05-04 08:00:00+00:00,BTCUSDT,-1.58e-06
2026-05-04 16:00:00.003000+00:00,BTCUSDT,-3.16e-05
2026-05-05 00:00:00+00:00,BTCUSDT,-3.83e-06
2026-05-05 08:00:00.011000+00:00,BTCUSDT,-4.626e-05
2026-05-05 16:00:00+00:00,BTCUSDT,-8.24e-05
2026-05-06 00:00:00.010000+00:00,BTCUSDT,-9.153e-05
2026-05-06 08:00:00+00:00,BTCUSDT,-6.15e-05
2026-05-06 16:00:00.002000+00:00,BTCUSDT,-3.756e-05
2026-05-07 00:00:00+00:00,BTCUSDT,-5.856e-05
2026-05-07 08:00:00+00:00,BTCUSDT,-4.568e-05
2026-05-07 16:00:00.004000+00:00,BTCUSDT,-3.014e-05
2026-05-08 00:00:00.003000+00:00,BTCUSDT,-7.406e-05
2026-05-08 08:00:00.002000+00:00,BTCUSDT,2.415e-05
2026-05-08 16:00:00.003000+00:00,BTCUSDT,-1.542e-05
2026-05-09 00:00:00+00:00,BTCUSDT,1.841e-05
2026-05-09 08:00:00.001000+00:00,BTCUSDT,-3.792e-05
2026-05-09 16:00:00.002000+00:00,BTCUSDT,3.645e-05
2026-05-10 00:00:00.003000+00:00,BTCUSDT,9e-07
2026-05-10 08:00:00+00:00,BTCUSDT,4.626e-05
2026-05-10 16:00:00+00:00,BTCUSDT,5.764e-05
2026-05-11 00:00:00+00:00,BTCUSDT,5.798e-05
2026-05-11 08:00:00+00:00,BTCUSDT,2.592e-05
2026-05-11 16:00:00+00:00,BTCUSDT,4.555e-05
2026-05-12 00:00:00.002000+00:00,BTCUSDT,-1.15e-06
2026-05-12 08:00:00.008000+00:00,BTCUSDT,3.877e-05
2026-05-12 16:00:00+00:00,BTCUSDT,5.822e-05
2026-05-13 00:00:00.010000+00:00,BTCUSDT,5.367e-05
2026-05-13 08:00:00.003000+00:00,BTCUSDT,5.437e-05
2026-05-13 16:00:00.001000+00:00,BTCUSDT,1.749e-05
2026-05-14 00:00:00.005000+00:00,BTCUSDT,3.928e-05
2026-05-14 08:00:00+00:00,BTCUSDT,2.928e-05
2026-05-14 16:00:00+00:00,BTCUSDT,4.094e-05
2026-05-15 00:00:00+00:00,BTCUSDT,-4.239e-05
2026-05-15 08:00:00.016000+00:00,BTCUSDT,-1.893e-05
2026-05-15 16:00:00.012000+00:00,BTCUSDT,1.548e-05
2026-05-16 00:00:00.005000+00:00,BTCUSDT,3.938e-05
2026-05-16 08:00:00+00:00,BTCUSDT,-2.1e-06
2026-05-16 16:00:00.005000+00:00,BTCUSDT,4.955e-05
2026-05-17 00:00:00+00:00,BTCUSDT,4.037e-05
2026-05-17 08:00:00.010000+00:00,BTCUSDT,1.176e-05
2026-05-17 16:00:00.009000+00:00,BTCUSDT,4.8e-07
2026-05-18 00:00:00.007000+00:00,BTCUSDT,-1.131e-05
2026-05-18 08:00:00.002000+00:00,BTCUSDT,5.778e-05
2026-05-18 16:00:00.007000+00:00,BTCUSDT,7.178e-05
2026-05-19 00:00:00.001000+00:00,BTCUSDT,5.164e-05
2026-05-19 08:00:00.001000+00:00,BTCUSDT,4.809e-05
2026-05-19 16:00:00.009000+00:00,BTCUSDT,5.563e-05
2026-05-20 00:00:00.001000+00:00,BTCUSDT,3.254e-05
2026-05-20 08:00:00.006000+00:00,BTCUSDT,7.983e-05
2026-05-20 16:00:00+00:00,BTCUSDT,6.858e-05
2026-05-21 00:00:00.001000+00:00,BTCUSDT,1.925e-05
2026-05-21 08:00:00+00:00,BTCUSDT,4.003e-05
2026-05-21 16:00:00+00:00,BTCUSDT,6.13e-05
2026-05-22 00:00:00+00:00,BTCUSDT,3.564e-05
2026-05-22 08:00:00.004000+00:00,BTCUSDT,-8.2e-06
