month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate
2025-01,0.06240846682267178,0.9999000049998333,1.0643970268169893,-0.17692997433404767,50.2,12,6.439702681698933,-17.692997433404766,vol_slip_10pct_cap20bps,2C
2025-02,0.09558272865105998,1.0642805862991316,1.171155883189538,-0.07022377983117667,20.3,13,10.029984459070128,-7.022377983117667,vol_slip_10pct_cap20bps,2C
2025-03,0.30830533772682894,1.1706807569472608,1.5940796268038404,-0.3071680309554128,65.9,11,36.111652572030614,-30.71680309554128,vol_slip_10pct_cap20bps,2C
2025-04,0.0467678381957661,1.5939048438110806,1.6704020924949277,-0.3034007824953475,80.0,16,4.78787034272028,-30.340078249534752,vol_slip_10pct_cap20bps,2C
2025-05,0.15502471705684437,1.670217591198216,1.9505065117328784,-0.19295429426692234,48.0,12,16.768682253000765,-19.295429426692234,vol_slip_10pct_cap20bps,2C
2025-06,0.07717355710934835,1.9502895946947512,2.106994755136693,-0.187379964017938,48.0,12,8.022954164084627,-18.7379964017938,vol_slip_10pct_cap20bps,2C
2025-07,0.047818014708557524,2.1067467003579865,2.210194808464073,-0.07788880299951861,32.4,14,4.897973906949038,-7.788880299951861,vol_slip_10pct_cap20bps,2C
2025-08,0.0846806836997637,2.2098878698238646,2.405508567957559,-0.1028482737550751,32.2,12,8.836947709112364,-10.284827375507511,vol_slip_10pct_cap20bps,2C
2025-09,0.05536363894809502,2.4052054654301136,2.542441863804649,-0.10394453673089488,32.2,12,5.692488385662053,-10.394453673089487,vol_slip_10pct_cap20bps,2C
2025-10,0.10623063802258909,2.542163267949814,2.827394513409413,-0.16886889409949235,51.9,16,11.207833447894266,-16.886889409949234,vol_slip_10pct_cap20bps,2C
2025-11,0.19424973404425422,2.8270789195876715,3.4335865455730428,-0.1109781705292131,36.2,14,21.43995219940693,-11.097817052921311,vol_slip_10pct_cap20bps,2C
2025-12,0.15592581233679662,3.4326942110221053,4.012968201265659,-0.11713635607001904,32.2,12,16.873949382158983,-11.713635607001905,vol_slip_10pct_cap20bps,2C
2026-01,0.10254762375854513,4.012522613599503,4.4463289074123065,-0.21513280402826784,68.3,13,10.79900673047871,-21.513280402826783,vol_slip_10pct_cap20bps,2C
2026-02,0.23242555310425736,4.381674989665627,5.609739840323376,-0.2544721564675829,60.1,11,26.165651645149147,-25.44721564675829,vol_slip_10pct_cap20bps,2C
