scenario_id,candidate,description,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders
vol_slip_10pct_cap20bps,2C,每次调仓额外滑点 = 15m波动的10%，单边最多20bps,True,301.29682012656616,239.76147551472576,239.76147551472576,4.78787034272028,0,11,1263.4519972556964,-30.71680309554128,27.353971962616825,816.8,228
vol_slip_20pct_cap40bps,2C,每次调仓额外滑点 = 15m波动的20%，单边最多40bps,True,250.774969368823,220.13443843076058,220.13443843076058,2.758073592353849,0,11,1022.9514783445517,-32.55120185368895,27.353971962616825,816.8,228
funding_1bp_8h,2C,每8小时按持仓名义扣1bp资金费,True,332.1866214961658,245.8169534186847,245.8169534186847,4.9922537079887475,0,11,1394.5746075405705,-29.701792200689002,27.353971962616825,816.8,228
funding_3bp_8h,2C,每8小时按持仓名义扣3bp资金费,True,283.0083782108607,218.05856618196452,218.05856618196452,3.8349062818419988,0,11,1118.1909560941494,-30.295356980840403,27.353971962616825,816.8,228
miss_top5pct_rebalance,2C,专门漏掉换手最大的5%调仓,True,374.8872473736954,260.72871765986116,260.72871765986116,5.575755909827906,0,11,1613.0546777813456,-32.0260024795339,27.357866043613704,816.8,228
outage_top3vol_4bars,2C,最大3次波动附近各停摆4根15m K线,True,359.0952944375251,260.5918213916581,260.5918213916581,5.575755909827906,0,11,1555.4600841356685,-29.40311707059141,27.353971962616825,816.8,228
vol_slip_10pct_cap20bps,3,每次调仓额外滑点 = 15m波动的10%，单边最多20bps,True,295.35662432566494,238.586692987674,238.586692987674,4.437968860484376,0,11,1238.624919811973,-30.71680309554128,29.443146417445483,819.4000000000001,254
vol_slip_20pct_cap40bps,3,每次调仓额外滑点 = 15m波动的20%，单边最多40bps,True,245.434931498388,218.98590918281434,218.98590918281434,2.441016713068511,0,11,1001.8887568751628,-32.55120185368895,29.443146417445483,819.4000000000001,254
funding_1bp_8h,3,每8小时按持仓名义扣1bp资金费,True,325.84984235006243,244.64884701409204,244.64884701409204,4.529465860125681,0,11,1367.6865716702043,-29.701792200689002,29.443146417445483,819.4000000000001,254
funding_3bp_8h,3,每8小时按持仓名义扣3bp资金费,True,277.17760465140026,216.9523275986624,216.9523275986624,3.3720510911731116,0,11,1095.4731971233819,-30.295356980840403,29.443146417445483,819.4000000000001,254
miss_top5pct_rebalance,3,专门漏掉换手最大的5%调仓,True,368.05776328675154,256.7447411521047,256.7447411521047,5.11302387708088,0,11,1569.7714560796562,-32.0260024795339,29.447040498442366,819.4000000000001,254
outage_top3vol_4bars,3,最大3次波动附近各停摆4根15m K线,True,352.49291876815977,259.39188963556205,259.39188963556205,5.11302387708088,0,11,1526.2228512280008,-29.40311707059141,29.443146417445483,819.4000000000001,254
vol_slip_10pct_cap20bps,4,每次调仓额外滑点 = 15m波动的10%，单边最多20bps,True,252.51788790900088,240.81430233154072,240.81430233154072,4.005914053263981,0,10,1101.431380270942,-29.881124158312222,29.345794392523366,781.8,226
vol_slip_20pct_cap40bps,4,每次调仓额外滑点 = 15m波动的20%，单边最多40bps,True,218.07560402984322,219.83760491070052,218.07560402984322,3.4558564084366417,0,10,917.3253937342931,-30.95637260402424,29.345794392523366,781.8,226
funding_1bp_8h,4,每8小时按持仓名义扣1bp资金费,True,268.1864870387763,247.86239448999066,247.86239448999066,3.9862457767614545,0,10,1180.7823300013201,-29.108693201914615,29.345794392523366,781.8,226
funding_3bp_8h,4,每8小时按持仓名义扣3bp资金费,True,226.99387605713673,219.16131701767623,219.16131701767623,2.8503365411570947,0,10,943.6379613912142,-29.74352313265728,29.345794392523366,781.8,226
miss_top5pct_rebalance,4,专门漏掉换手最大的5%调仓,False,211.67326455074215,269.3707520713102,211.67326455074215,-0.5551478057268855,1,10,1051.2298812762842,-31.62316262152033,29.369158878504674,781.8,226
outage_top3vol_4bars,4,最大3次波动附近各停摆4根15m K线,True,290.6896967934816,263.1667661661156,263.1667661661156,4.558896263438661,0,10,1318.8551375890918,-28.78913036963924,29.345794392523366,781.8,226
