oracle_id,family_filter,leaky_oracle,requires_monthly_orders_ge_10_at_selection,months_without_order_floor_candidate,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count
monthly_oracle_best_return,all,True,False,0,False,"['2023-07', '2024-12', '2025-06', '2025-09', '2026-04', '2026-05']",77772289.27974789,10048.372062965836,5634.187028442514,1912.7107985825257,564.0118495481124,1912.7107985825257,6,-3.00459681138312,0,586,3402.0,3.402,-99.99999999999756,14
monthly_oracle_best_return_order10,all,True,True,0,False,"['2023-07', '2023-09', '2024-04', '2024-06', '2024-12', '2025-06', '2025-07', '2025-09', '2026-04', '2026-05']",1126907.0719577447,3299.3778212536135,1721.7040976132864,385.93453278070695,274.5170607155017,385.93453278070695,10,-3.360781346251862,10,1028,4524.0,4.524,-99.9999999999988,19
trend_monthly_oracle_order10,trend,True,True,0,False,"['2023-07', '2023-09', '2023-11', '2024-03', '2024-04', '2024-06', '2024-12', '2025-03', '2025-06', '2025-07', '2025-09', '2025-12', '2026-03', '2026-04', '2026-05']",542287.885856806,2553.5344482034725,1377.2237927210797,292.3407854137003,252.67566991224467,292.3407854137003,15,-8.014244351091115,10,968,3897.0,3.897,-99.99999999823368,16
volatility_breakout_monthly_oracle_order10,volatility_breakout,True,True,0,False,"['2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2024-12', '2025-01', '2025-04', '2025-06', '2025-07', '2025-08', '2025-09', '2025-11', '2026-01', '2026-02', '2026-04', '2026-05']",-26.48973855971246,24.65817026795063,-25.532643490253548,-12.04576892313951,-9.96641450451542,-25.532643490253548,32,-22.000828240736038,10,1334,2026.0,2.0260000000000002,-99.99999999999994,14
mean_reversion_monthly_oracle_order10,mean_reversion,True,True,0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-09', '2023-12', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-52.24993228430321,-23.432712495025253,-2.941853609111078,-24.023604113797546,-15.429275914694818,-24.023604113797546,34,-10.221059282806378,24,1976,2912.0,2.9120000000000004,-99.99999999780789,5
