month,log_return,turnover,orders,cost,min_drawdown,return_pct,drawdown_pct
2024-01,1.4870832013105624,600.0,75,0.6000000000000001,-0.5238599309010716,342.41722610421493,-52.38599309010716
2024-02,1.839162863333529,176.0,22,0.176,-0.5563105651952788,529.1269403661059,-55.631056519527874
2024-03,2.141338230145914,240.0,30,0.24,-0.6620965318557719,751.0819446591595,-66.2096531855772
2024-04,2.55346068101373,336.0,42,0.336,-0.5923484812682428,1185.1501863051053,-59.23484812682428
2024-05,1.0360250045331476,224.0,28,0.224,-0.549004918630283,181.79932116058416,-54.9004918630283
2024-06,1.368189205425793,256.0,32,0.256,-0.44809008618081625,292.82310318530716,-44.80900861808163
2024-07,1.917305585645382,688.0,86,0.688,-0.45926438533064107,580.2604718287738,-45.92643853306411
2024-08,1.6796331620968257,272.0,34,0.272,-0.890509836555667,436.35880427975826,-89.0509836555667
2024-09,1.31316313183307,144.0,18,0.14400000000000002,-0.36702946643667356,271.7915388703508,-36.70294664366735
2024-10,1.7781605974810901,128.0,16,0.128,-0.35781346033288086,491.8959051153087,-35.78134603328809
2024-11,1.8214845606858319,128.0,16,0.128,-0.42820078279170104,518.1027752806052,-42.820078279170104
2024-12,1.660320569426652,192.0,24,0.192,-0.556022095661955,426.09970889736684,-55.602209566195505
2025-01,2.71538878272999,560.0,70,0.56,-0.5527391744485033,1411.0483625128636,-55.273917444850326
2025-02,1.3935394512487829,208.0,26,0.20800000000000002,-0.6887124951217887,302.9085597173693,-68.87124951217886
2025-03,2.5352915357036903,464.0,58,0.464,-0.6800607969659498,1162.010952428892,-68.00607969659498
2025-04,2.4045839295757645,128.0,16,0.128,-0.624882568402892,1007.3821833785075,-62.4882568402892
2025-05,0.7528026602915503,128.0,16,0.128,-0.5562173995434223,112.29415706860877,-55.62173995434223
2025-06,1.7913914779149422,128.0,16,0.128,-0.4624106115757668,499.7792458324315,-46.24106115757668
2025-07,1.2110459857123423,160.0,20,0.16,-0.5774657240956125,235.69941847224268,-57.746572409561246
2025-08,1.2325811877842465,80.0,10,0.08,-0.4438969360327538,243.0071779010988,-44.38969360327538
2025-09,1.2590115770457384,80.0,10,0.08,-0.44943960536899585,252.19386014095952,-44.94396053689959
2025-10,1.5279058620141672,176.0,22,0.176,-0.6383628789567102,360.8515842034404,-63.83628789567102
2025-11,2.366972015688237,96.0,12,0.096,-0.4800785801280121,966.5049739168891,-48.00785801280121
2025-12,2.8435139765529946,160.0,20,0.16000000000000003,-0.5264193799920185,1617.6015732819824,-52.64193799920185
2026-01,1.8294629133221711,160.0,20,0.16,-0.41374279694505955,523.0539420008399,-41.37427969450596
2026-02,2.074265715466348,240.0,30,0.24000000000000002,-0.910980604830379,695.8700362364204,-91.0980604830379
2026-03,2.419543860206261,128.0,16,0.128,-0.5710807393169561,1024.0730800682163,-57.108073931695614
2026-04,1.0525123896903015,112.0,14,0.112,-0.4208554491420293,186.48396777210073,-42.085544914202934
2026-05,0.8695362508868616,240.0,30,0.24,-0.44549105190548033,138.58041823615332,-44.54910519054803
2026-06,1.9719770630688842,192.0,24,0.192,-0.36631439061560234,618.4867391543528,-36.631439061560236
