year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,orders_min,orders_sum,max_drawdown_pct,cost_sum,turnover_sum
2024,0.6281428810616733,87.41268689322501,12,5,-15.010299454899503,0,1,-32.53489953195887,0.001,1.0
2025,0.4314645883743047,53.95106225741573,12,3,-17.65984858326401,0,2,-31.519733197339317,0.002,2.0
2026,0.32163628945557043,37.93829885723461,6,2,-10.567928351073489,0,0,-27.157654005783815,0.0,0.0
