year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,orders_min,orders_sum,max_drawdown_pct,cost_sum,turnover_sum
2024,20.595326792931527,87990701210.87689,12,0,181.79932116058416,16,423,-89.0509836555667,3.384,3384.0
2025,22.034028442262446,370900113695.3203,12,0,112.29415706860877,10,296,-68.87124951217886,2.3680000000000003,2368.0
2026,10.217298192640827,2737161.0965417833,6,0,138.58041823615332,14,134,-91.0980604830379,1.072,1072.0
