selector_id,family,strict_no_future,posthoc_selection,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,annualized_sharpe,exposure_pct,turnover,orders,unique_units_used,unit_index,unit_id,expert_index,expert_name,leverage,win_rate_pct,profit_factor,notes
static_single_expert,static_single_expert,True,True,False,53.95106225741573,37.93829885723461,37.93829885723461,-17.65984858326401,5,0,297.984852247157,-32.53489953195887,1.176842931445837,95.24486681465038,3.0,3,1,392,expert_0098_gap_adx_state_lev1,98,gap_adx_state,1.0,50.01395919060971,1.0199930014344447,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,137.00929570186693,90.26974291627769,90.26974291627769,-32.20099464668991,5,0,1483.9194261819139,-54.48460218837117,1.176842931445837,95.24486681465038,6.0,3,1,393,expert_0098_gap_adx_state_lev2,98,gap_adx_state,2.0,50.01395919060971,1.0199930014344447,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,461.73406249095007,262.0257506942641,262.0257506942641,-54.032948731018294,5,0,24988.007486364433,-79.28348562049172,1.176842931445837,95.24486681465038,12.0,3,1,394,expert_0098_gap_adx_state_lev4,98,gap_adx_state,4.0,50.01395919060971,1.0199930014344447,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,3055.451569625866,1210.6264416574545,1210.6264416574545,-78.87030197634807,5,0,6293981.1963587785,-95.70826031963627,1.176842931445837,95.24486681465038,24.0,3,1,395,expert_0098_gap_adx_state_lev8,98,gap_adx_state,8.0,50.01395919060971,1.0199930014344447,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-2.540936912327118,13.526403522929717,-2.540936912327118,-15.238195097155291,6,0,-40.24965751788231,-63.00445147149968,-0.42771176235522973,99.9040418054014,325.0,325,1,204,expert_0051_ret_state_flip_lev1,51,ret_state_flip,1.0,49.86518232210431,0.9930175060648341,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,137.0286488516996,-7.13600716653949,-7.13600716653949,-16.08245153040423,6,0,21.268027334985174,-61.39149025408368,0.16024288899085093,99.87745098039215,165.0,165,1,124,expert_0031_ret_state_flip_lev1,31,ret_state_flip,1.0,49.75575876837597,1.0026464784430746,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,46.84496983989093,20.909777819604475,20.909777819604475,-20.209646556606845,6,0,5.873301268166972,-63.54041771054393,0.04736142879264997,99.72137439881614,43.0,43,1,40,expert_0010_ret_state_lev1,10,ret_state,1.0,50.08289374529012,1.0007930417551991,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-9.492647371150507,41.40119540068049,-9.492647371150507,-21.281129863573366,6,0,61.96620843140914,-44.487117828046166,0.41033779192746883,95.52233629300777,117.0,117,1,424,expert_0106_gap_adx_state_lev1,106,gap_adx_state,1.0,50.10832334822023,1.0069236168806377,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-31.427597003398894,25.29567316201812,-31.427597003398894,-25.528592476308038,6,0,-0.4201289370270285,-54.533524287166934,-0.003581867545167767,95.52233629300777,205.0,205,1,368,expert_0092_gap_adx_state_lev1,92,gap_adx_state,1.0,50.04175592752623,0.999954166651506,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-5.017310220729972,28.88244296851069,-5.017310220729972,-28.15436429612091,6,0,-64.29896573269642,-86.31329389075377,-0.42771176235522973,99.9040418054014,650.0,325,1,205,expert_0051_ret_state_flip_lev2,51,ret_state_flip,2.0,49.86518232210431,0.9930175060648341,Single expert+leverage held for the whole backtest; best row is selected after the scan.
