month,log_return,turnover,orders,cost,min_drawdown,return_pct,drawdown_pct
2024-01,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02,0.2038596964618561,1.0,1,0.001,-0.06177722058782176,22.612611155578723,-6.177722058782176
2024-03,0.15357841811363393,0.0,0,0.0,-0.17176527104726502,16.59992189963602,-17.176527104726503
2024-04,-0.16264010689710062,0.0,0,0.0,-0.1956015801308456,-15.010299454899503,-19.56015801308456
2024-05,0.1081415856712713,0.0,0,0.0,-0.22988298292443599,11.42054897512338,-22.9882982924436
2024-06,-0.07386748093131779,0.0,0,0.0,-0.20064703399778316,-7.120523129603046,-20.064703399778317
2024-07,0.028828748587779174,0.0,0,0.0,-0.2687213072040885,2.924831915368178,-26.872130720408848
2024-08,-0.0916900612151057,0.0,0,0.0,-0.3253489953195887,-8.761210987929191,-32.53489953195887
2024-09,0.07147686572893441,0.0,0,0.0,-0.2825508446860575,7.40933020482879,-28.25508446860575
2024-10,0.10505419366077717,0.0,0,0.0,-0.19868204819914748,11.077080546082628,-19.868204819914748
2024-11,0.31620167160904344,0.0,0,0.0,-0.09087109394613369,37.19069024016701,-9.087109394613368
2024-12,-0.03080064972809815,0.0,0,0.0,-0.15301565417948415,-3.0331142439862018,-15.301565417948416
2025-01,0.09020415653231773,0.0,0,0.0,-0.16176632295419513,9.43976893368064,-16.176632295419513
2025-02,-0.19431133072725615,0.0,0,0.0,-0.28034916954369793,-17.65984858326401,-28.03491695436979
2025-03,-0.02136672797983863,0.0,0,0.0,-0.2956750965838837,-2.1140076583994265,-29.567509658388367
2025-04,0.13161435647825925,0.0,0,0.0,-0.31519733197339317,14.066834307874142,-31.519733197339317
2025-05,0.1049899826050833,0.0,0,0.0,-0.14179394704304726,11.069948398461186,-14.179394704304727
2025-06,0.0240305923323465,0.0,0,0.0,-0.12004663567754514,2.432165379976258,-12.004663567754514
2025-07,0.07733197423906724,0.0,0,0.0,-0.0644947300991967,8.040068205969968,-6.449473009919671
2025-08,-0.0669183003028806,0.0,0,0.0,-0.13592196299276083,-6.47283903773023,-13.592196299276083
2025-09,0.05204120054393613,0.0,0,0.0,-0.13700321802091808,5.341914306098238,-13.700321802091809
2025-10,0.010275585460121972,2.0,2,0.002,-0.13671755308432376,1.0328560583048527,-13.671755308432376
2025-11,0.1930821371942546,0.0,0,0.0,-0.12910759468467803,21.298242040021908,-12.910759468467802
2025-12,0.03049096199889334,0.0,0,0.0,-0.1411351394380027,3.096057218388115,-14.113513943800271
2026-01,0.10714504511057754,0.0,0,0.0,-0.17095158084544015,11.309569185890036,-17.095158084544014
2026-02,0.16197618329032437,0.0,0,0.0,-0.15773177413442285,17.583223653250528,-15.773177413442285
2026-03,-0.0192995117180228,0.0,0,0.0,-0.20686193262441654,-1.9114468468600696,-20.686193262441655
2026-04,-0.11169082486502369,0.0,0,0.0,-0.24052119696658092,-10.567928351073489,-24.052119696658092
2026-05,0.03537611834070731,0.0,0,0.0,-0.27157654005783816,3.6009297627259698,-27.157654005783815
2026-06,0.1481292792970077,0.0,0,0.0,-0.18576253396651832,15.966280706505339,-18.576253396651833
