year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,orders_min,orders_sum,max_drawdown_pct,cost_sum,turnover_sum
2024,-0.1531296813125178,-14.198155436186518,12,7,-53.638514193295414,2,169,-88.54604313252918,1.352,1352.0
2025,0.5752660302497752,77.76033602831976,12,4,-63.623025082080034,2,164,-96.65486792523913,1.312,1312.0
2026,0.9311903349937012,153.75278888662137,6,1,-53.10303121534636,4,64,-78.22596437330043,0.512,512.0
