month,log_return,turnover,orders,cost,min_drawdown,return_pct,drawdown_pct
2024-01,0.19801332662906043,216.0,27,0.216,-0.2909197598995945,21.89786385895476,-29.09197598995945
2024-02,1.2986547463828995,16.0,2,0.016,-0.3995901825104572,266.43638516930605,-39.95901825104572
2024-03,-0.014181422099662548,16.0,2,0.016,-0.8019170443566171,-1.4081339396875125,-80.19170443566172
2024-04,-0.4144563020824012,80.0,10,0.08000000000000002,-0.6893474698698366,-33.93005960410551,-68.93474698698367
2024-05,-0.7687011187051613,16.0,2,0.016,-0.8646031621019253,-53.638514193295414,-86.46031621019253
2024-06,0.42249482998432697,160.0,20,0.16000000000000003,-0.8419695299390183,52.57633313627339,-84.19695299390183
2024-07,-0.08707490602916201,416.0,52,0.41600000000000004,-0.7437768698072142,-8.339156643647176,-74.37768698072142
2024-08,-0.1884641371353588,32.0,4,0.032,-0.8133106379207544,-17.176979438620798,-81.33106379207544
2024-09,0.2930342464617617,96.0,12,0.096,-0.8577686920677312,34.048869664050585,-85.77686920677311
2024-10,0.48199045190701284,96.0,12,0.096,-0.6966122761281544,61.929432405533504,-69.66122761281544
2024-11,-0.7199721621516417,192.0,24,0.192,-0.8741742336045422,-51.32341937159338,-87.41742336045422
2024-12,-0.6544672344741915,16.0,2,0.016,-0.8854604313252917,-48.028112285727204,-88.54604313252918
2025-01,0.4395318791513798,16.0,2,0.016,-0.869087184666136,55.198053399190506,-86.90871846661359
2025-02,-1.011234168694111,144.0,18,0.14400000000000002,-0.9595103779786021,-63.623025082080034,-95.95103779786021
2025-03,0.14524278091994886,144.0,18,0.14400000000000002,-0.93345653286441,15.632026869112048,-93.345653286441
2025-04,0.3607469090220512,32.0,4,0.032,-0.9229845438270703,43.44003811391581,-92.29845438270704
2025-05,-0.7885473458585146,352.0,44,0.35200000000000004,-0.9594085269455647,-54.54954461116688,-95.94085269455647
2025-06,0.6709448747012132,64.0,8,0.064,-0.9477814279821957,95.6084702675208,-94.77814279821956
2025-07,-0.9062447810476666,112.0,14,0.11200000000000002,-0.9546473930570216,-59.59613676837975,-95.46473930570217
2025-08,0.07300004085640666,64.0,8,0.064,-0.9562500185370616,7.573058086518865,-95.62500185370617
2025-09,0.30767992755130713,48.0,6,0.048,-0.9609815453358218,36.02655357316866,-96.09815453358217
2025-10,-0.5567849535731098,120.0,15,0.12000000000000002,-0.9640484313529729,-42.69515171671676,-96.40484313529728
2025-11,1.2642106296476756,56.0,7,0.056,-0.9665486792523913,254.02970273175467,-96.65486792523913
2025-12,0.5767202375731948,160.0,20,0.16000000000000003,-0.9170577385839637,78.01902445850271,-91.70577385839637
2026-01,1.0083791650933875,128.0,16,0.128,-0.7822596437330043,174.11544535965945,-78.22596437330043
2026-02,-0.7572171440818387,32.0,4,0.032,-0.7703388020189884,-53.10303121534636,-77.03388020189884
2026-03,0.17998505362907657,112.0,14,0.11200000000000002,-0.7753632723923691,19.719946920074992,-77.53632723923691
2026-04,0.11926070697626659,96.0,12,0.096,-0.6626931561771929,12.666360906586133,-66.26931561771929
2026-05,0.11151746812792318,112.0,14,0.11200000000000002,-0.7662054959478385,11.797327273510797,-76.62054959478385
2026-06,0.26926508524888604,32.0,4,0.032,-0.5646371716440828,30.900209220402218,-56.46371716440828
