variant_id,variant_kind,leverage,total_return_pct,annualized_sharpe,max_drawdown_pct,exposure_pct,turnover,trade_count,win_rate_pct,profit_factor,return_2025_pct,return_2026_pct,min_required_year_return_pct,yearly_return_gate_pass,drawdown_improved_vs_base,drawdown_improvement_pct_points,active_rows,segments,trigger_rows,losing_months,worst_month_return_pct,params_json
alpha_robust_static_a742e1d0c3_lev2.2,static,2.2,1993.4034292614904,2.633807506429488,-57.92983869640362,95.24486681465038,6.6000000000000005,2,50.01395919060971,1.020004804248461,149.65324085613253,106.40825380994343,106.40825380994343,True,True,11.363152441552401,82384,2,5300,9,-34.92002648000604,"{""scale_source"": ""base_alpha""}"
alpha_robust_static_936aa1be00_lev2.4,static,2.4,2660.135929529015,2.6338075064294877,-61.11429192741416,95.24486681465038,7.199999999999999,2,50.01395919060971,1.0200048042484609,171.30560904321587,120.46447102404629,120.46447102404629,True,True,8.178699210541865,82384,2,5300,9,-37.4124376093517,"{""scale_source"": ""base_alpha""}"
alpha_robust_quality_opposite_block_e4bb258f6f_lev2.5,quality_opposite_block,2.5,2717.9061049065485,2.5510128710427633,-63.05207129324057,94.92924528301887,132.5,52,50.01705029838022,1.0196292931947097,187.7190794489954,120.05310080824425,120.05310080824425,True,True,6.2409198447154495,82111,27,5300,10,-34.48698329406474,"{""quality_mask"": ""block_opposite_only""}"
alpha_robust_static_08cf9a3750_lev2.6,static,2.6,3539.217478574757,2.633807506429488,-64.05770157631585,95.24486681465038,7.800000000000001,2,50.01395919060971,1.0200048042484609,194.8358821455208,135.4779040409245,135.4779040409245,True,True,5.2352895616401725,82384,2,5300,9,-39.8093952081913,"{""scale_source"": ""base_alpha""}"
alpha_robust_static_7e7af60d6c_lev2.8,static,2.8,4698.279575536924,2.6338075064294877,-66.77831316416497,95.24486681465038,8.399999999999999,2,50.01395919060971,1.0200048042484609,220.4069304246777,151.51373839941198,151.51373839941198,True,True,2.514677973791052,82384,2,5300,9,-42.11455492401481,"{""scale_source"": ""base_alpha""}"
alpha_robust_static_ad937c01dc_lev3.0,static,3.0,6226.49381922394,2.6338075064294877,-69.29299113795602,95.24486681465038,9.0,2,50.01395919060971,1.0200048042484609,248.19574984259222,168.64159871516227,168.64159871516227,True,False,0.0,82384,2,5300,9,-44.33143240154115,"{""scale_source"": ""base_alpha""}"
alpha_robust_base_alpha_0bd3da5fb2_lev3.0,base_alpha,3.0,6226.49381922394,2.6338075064294877,-69.29299113795602,95.24486681465038,9.0,2,50.01395919060971,1.0200048042484609,248.19574984259222,168.64159871516227,168.64159871516227,True,False,0.0,82384,2,5300,9,-44.33143240154115,"{""source_candidate"": ""alpha_summary_best""}"
alpha_robust_quality_opposite_block_dc56093586_lev3.0,quality_opposite_block,3.0,5394.293072693974,2.5510128710427633,-69.72332936820413,94.92924528301887,159.0,52,50.01705029838022,1.01962929319471,255.43680347338312,157.65168747748706,157.65168747748706,True,False,-0.43033823024811113,82111,27,5300,10,-39.800467633813064,"{""quality_mask"": ""block_opposite_only""}"
alpha_robust_natr_cap_b944166d78_lev2.5,natr_cap,2.5,1476.5086489082173,2.1828978525061653,-70.62497488398978,94.33615427302998,182.5,72,49.99816169712122,1.0167305942408662,106.14389019447037,173.8507000078351,106.14389019447037,True,False,-1.3319837460337567,81598,37,5300,10,-38.64675331970495,"{""natr_max"": 0.9}"
alpha_robust_static_d0bd35b9cf_lev3.2,static,3.2,8241.432260166108,2.633807506429488,-71.61732340946165,95.24486681465038,9.600000000000001,2,50.01395919060971,1.0200048042484609,278.3946871803005,186.93585097778208,186.93585097778208,True,False,-2.324332271505625,82384,2,5300,9,-46.46340864450135,"{""scale_source"": ""base_alpha""}"
alpha_robust_static_7b23c47cef_lev3.5,static,3.5,12528.650263155652,2.6338075064294877,-74.77814061885559,95.24486681465038,10.5,2,50.01395919060971,1.0200048042484609,328.67423023417376,216.73943709095727,216.73943709095727,True,False,-5.485149480899565,82384,2,5300,9,-49.50926171069226,"{""scale_source"": ""base_alpha""}"
alpha_robust_quality_opposite_block_3d590e6fe3_lev3.5,quality_opposite_block,3.5,10612.655157704046,2.5510128710427638,-75.19003590643635,94.92924528301887,185.5,52,50.01705029838022,1.0196292931947097,339.09260903141376,201.67442229248235,201.67442229248235,True,False,-5.8970447684803275,82111,27,5300,10,-44.68299768007375,"{""quality_mask"": ""block_opposite_only""}"
alpha_robust_natr_cap_3084f1a558_lev2.5,natr_cap,2.5,865.5381679820418,1.869174817174266,-75.30621783383987,92.62856085830559,382.5,152,49.94633050424363,1.0147677977578056,122.157616895091,115.37805292758776,115.37805292758776,True,False,-6.013226695883844,80121,77,5300,10,-50.971267671190546,"{""natr_max"": 0.75}"
alpha_robust_monthly_loss_stop_79a93a27a2_lev4.0,monthly_loss_stop,4.0,339.7422786813274,1.259410797292215,-75.59600457910402,29.386330003699594,180.0,45,49.96852624124636,1.0179450995828654,163.6958303186257,142.02488185854295,142.02488185854295,True,False,-6.303013441147996,25419,23,5300,22,-16.263495296852494,"{""loss_cap_pct"": -8.0, ""period"": ""month""}"
alpha_robust_monthly_loss_stop_3e04835190_lev3.5,monthly_loss_stop,3.5,162.05046157121618,0.927208775881033,-76.63345112692555,30.003699593044765,157.5,45,49.9422009864365,1.0132005683448604,110.67089035188285,106.5430462433413,106.5430462433413,True,False,-7.340459988969528,25953,23,5300,22,-14.38487892534237,"{""loss_cap_pct"": -8.0, ""period"": ""month""}"
alpha_robust_natr_cap_dde8631b60_lev3.0,natr_cap,3.0,2636.7531663019035,2.1828978525061653,-77.00815113883621,94.33615427302998,219.0,72,49.99816169712122,1.0167305942408662,138.23444886300967,234.9782631770171,138.23444886300967,True,False,-7.715160000880189,81598,37,5300,10,-44.357701786615955,"{""natr_max"": 0.9}"
alpha_robust_quality_opposite_block_732e5edbc9_lev4.0,quality_opposite_block,4.0,20787.30597540068,2.5510128710427624,-79.66968277953595,94.92924528301887,212.0,52,50.01705029838022,1.01962929319471,442.43769193825716,253.21894436827765,253.21894436827765,True,False,-10.376691641579924,82111,27,5300,10,-49.16952631709379,"{""quality_mask"": ""block_opposite_only""}"
alpha_robust_natr_cap_5be8f379f9_lev3.0,natr_cap,3.0,1419.579183126655,1.869174817174266,-81.33168435783875,92.62856085830559,459.0,152,49.94633050424363,1.0147677977578053,160.61142424298333,151.09712247661867,151.09712247661867,True,False,-12.038693219882731,80121,77,5300,10,-57.48513569295029,"{""natr_max"": 0.75}"
alpha_robust_natr_cap_d1c9b4ef57_lev3.5,natr_cap,3.5,4650.889186970491,2.1828978525061653,-82.00426682302702,94.33615427302998,255.5,72,49.99816169712122,1.0167305942408662,175.32056648159872,309.7504107087561,175.32056648159872,True,False,-12.711275685071001,81598,37,5300,10,-49.53705764585836,"{""natr_max"": 0.9}"
alpha_robust_natr_cap_07ba1ab60e_lev3.5,natr_cap,3.5,2291.537662998755,1.8691748171742666,-85.88689223180448,92.62856085830559,535.5,152,49.94633050424363,1.0147677977578056,205.72129551618903,192.73997075846668,192.73997075846668,True,False,-16.59390109384846,80121,77,5300,10,-63.1335830809407,"{""natr_max"": 0.75}"
alpha_robust_natr_cap_e500f1e86f_lev4.0,natr_cap,4.0,8147.345191664688,2.1828978525061653,-85.91472940987255,94.33615427302998,292.0,72,49.99816169712122,1.016730594240866,218.17990508726095,401.21281746353503,218.17990508726095,True,False,-16.621738271916527,81598,37,5300,10,-54.23430316857596,"{""natr_max"": 0.9}"
alpha_robust_natr_cap_6a479b7dcc_lev4.0,natr_cap,4.0,3663.8396584068096,1.869174817174266,-89.33059550231381,92.62856085830559,612.0,152,49.94633050424363,1.0147677977578053,258.63934516145207,241.28901850576824,241.28901850576824,True,False,-20.03760436435779,80121,77,5300,10,-68.03158804332503,"{""natr_max"": 0.75}"
