month,first_equity,last_equity,min_drawdown,turnover,return_pct,entries,exits,drawdown_pct
2024-01,1.0,1.0,0.0,0.0,0.0,0,0,0.0
2024-02,1.0,1.567326547995759,-0.13089321412709876,2.2,56.7326547995759,1,0,-13.089321412709875
2024-03,1.5721306204908154,2.1973319009515615,-0.33940153292862485,0.0,39.767769440529044,0,0,-33.94015329286248
2024-04,2.1883325532254365,1.5363901661539987,-0.3805066348505979,0.0,-29.791741941165395,0,0,-38.050663485059786
2024-05,1.5317572913949495,1.9490598056781763,-0.4371083789764695,0.0,27.24338357176648,0,0,-43.71083789764695
2024-06,1.9513257488336848,1.6567181829753745,-0.3890229466044567,0.0,-15.097815730377073,0,0,-38.90229466044567
2024-07,1.6483619163676417,1.7651962856704422,-0.4976777409871904,0.0,7.087907585262498,0,0,-49.767774098719045
2024-08,1.7674152292125542,1.4427395327875971,-0.5792983869640362,0.0,-18.370085934453083,0,0,-57.92983869640362
2024-09,1.4463499501302726,1.688419466043348,-0.5183401091167946,0.0,16.736579960560192,0,0,-51.834010911679464
2024-10,1.6816443190840829,2.127424493667688,-0.3857138564953604,0.0,26.508588619167806,0,0,-38.57138564953604
2024-11,2.1380746219083933,4.2654844751902425,-0.1890837070787501,0.0,99.50119754861386,0,0,-18.90837070787501
2024-12,4.280799906549846,3.986024380623213,-0.30605373269711167,0.0,-6.885991692244509,0,0,-30.605373269711166
2025-01,3.993743237314609,4.860996619872999,-0.3217290273832263,0.0,21.715301435891288,0,0,-32.17290273832263
2025-02,4.871061427612,3.1700854872325293,-0.5150823096489845,0.0,-34.92002648000604,0,0,-51.50823096489845
2025-03,3.1856348396844116,3.0245180411549675,-0.5375117562431143,0.0,-5.057604108366842,0,0,-53.75117562431143
2025-04,3.0181030738713224,4.040236936101901,-0.565245609899256,0.0,33.86676456081028,0,0,-56.5245609899256
2025-05,4.049544433361337,5.09001765709856,-0.28566577033988216,0.0,25.693587040692755,0,0,-28.566577033988217
2025-06,5.0774725213717335,5.366353366288224,-0.24523588544665786,0.0,5.689461512604033,0,0,-24.523588544665785
2025-07,5.387333491254454,6.361593816219737,-0.13642169313824482,0.0,18.084277250458914,0,0,-13.642169313824482
2025-08,6.3074062598076495,5.490716106323012,-0.2748689095236767,0.0,-12.948114008269762,0,0,-27.48689095236767
2025-09,5.4593851094893004,6.156751758414955,-0.27686365833744353,0.0,12.773721489504686,0,0,-27.686365833744354
2025-10,6.1697469326403,6.308611561437713,-0.27506217344360284,4.4,2.2507345976018334,1,1,-27.506217344360284
2025-11,6.324768218974116,9.647475899918632,-0.26222844443850735,0.0,52.53485291328926,0,0,-26.222844443850736
2025-12,9.992934058956703,10.316828869635595,-0.2844588150840296,0.0,3.2412383466954298,0,0,-28.44588150840296
2026-01,10.291794754837763,13.059234812910034,-0.33797289612554793,0.0,26.889771162327225,0,0,-33.79728961255479
2026-02,12.843216454744944,18.64994384775641,-0.3145261077121857,0.0,45.21240775994369,0,0,-31.45261077121857
2026-03,18.682902187633648,17.87466253894073,-0.3994248638548964,0.0,-4.326092598332487,0,0,-39.94248638548964
2026-04,18.01188017145921,13.980512487573067,-0.45407316070125114,0.0,-22.38171498761169,0,0,-45.40731607012511
2026-05,13.930860812873126,15.112041178877716,-0.501982465693569,0.0,8.47887565507146,0,0,-50.1982465693569
2026-06,15.054243671966605,20.934034292614903,-0.36371398146883815,0.0,39.05736315134452,0,0,-36.37139814688381
