year,compounded_return_pct,months,losing_months,entries,exits,min_monthly_return_pct,max_drawdown_pct
2024,298.4612308666958,12,4,1,0,-29.791741941165395,-57.92983869640362
2025,149.65324085613253,12,3,1,1,-34.92002648000604,-56.5245609899256
2026,106.40825380994343,6,2,0,0,-22.38171498761169,-50.1982465693569
