month,selected_return_pct,selected_orders,selected_log_return,selected_cost_log,selected_turnover,selected_max_drawdown_pct,selected_candidate_id,selected_family,selected_rule,selected_leverage,train_hard_ok_candidate_count,train_min10_orders_candidate_count,train_return_pct,train_losing_months,train_min_monthly_return_pct,train_min_monthly_orders,train_turnover,oracle_candidate_id,oracle_family,oracle_rule,oracle_leverage,oracle_return_pct,oracle_orders,oracle_log_return,oracle_cost_log,oracle_turnover,oracle_max_drawdown_pct,candidate_count,positive_candidate_count,order10_candidate_count,positive_order10_candidate_count,best_candidate_id,best_return_pct,best_orders,best_order10_candidate_id,best_order10_return_pct,best_order10_orders,median_order10_return_pct,p90_order10_return_pct,oracle_hard_guard_rank,oracle_return_first_rank,oracle_train_return_pct,oracle_train_losing_months,oracle_train_min_monthly_return_pct,oracle_train_min_monthly_orders,oracle_train_hard_ok,selected_symbol,selected_lookback,selected_threshold_bps,oracle_symbol,oracle_lookback,oracle_threshold_bps,selected_gross_log_return,selected_gross_return_pct,selected_month_hard_ok,selected_equals_oracle,same_symbol_as_oracle,oracle_log_gap_vs_selected,root_cause
2023-01,8.573983922113836,1,0.0822616340847346,0.001,1.0,-5.253238612620137,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-45.14176321737487,16,-31.601670877044896,2,1045.0,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,123.6713264470453,117,0.8050074956918115,0.512,512.0,-99.950004121399,744,138,642,90,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,123.6713264470453,117,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,123.6713264470453,117,-39.97024385093192,5.352595449614718,108,269,-99.87325756937625,21,-99.97752291429563,0,False,BTCUSDT,1536,100,SOLUSDT,384,50,0.0832616340847346,8.682612211128093,False,False,False,0.7227458616070769,TOO_FEW_TRADES
2023-02,-4.014934857743613,14,-0.0409775780575752,0.014,14.0,-10.903709453134248,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-40.42499038752453,16,-31.601670877044896,2,1047.0,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,126.37994658308864,37,0.817044581254889,0.184,184.0,-99.76822065075775,744,90,714,75,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,126.37994658308864,37,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,126.37994658308864,37,-32.46194728978451,1.131257271731186,123,225,-99.49627212232139,22,-99.96904871529668,0,False,BTCUSDT,1536,100,SOLUSDT,384,20,-0.026977578057575204,-2.661693358126982,False,False,False,0.8580221593124642,WRONG_CANDIDATE_MARKET_LOSS
2023-03,13.880056592013744,2,0.1299755733658943,0.002,2.0,-10.212879937306251,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-42.81688821495992,17,-31.601670877044896,2,1061.0,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,161.52290937096728,36,0.96135170121673,0.168,168.0,-99.99489140489472,744,105,702,84,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,161.52290937096728,36,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,161.52290937096728,36,-33.99996525386506,2.0108823399949385,256,314,-99.99168880247335,27,-88.42098202309047,0,False,BTCUSDT,1536,100,SOLUSDT,1536,50,0.1319755733658943,14.108044617226966,False,False,False,0.8313761278508357,TOO_FEW_TRADES
2023-04,-14.85405414097325,34,-0.1608033917682807,0.034,34.0,-18.586272490198752,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-34.87983993812187,17,-31.601670877044896,2,1063.0,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,4.0,111.07840259872836,14,0.7470594547678898,0.056,56.0,-99.99314311217702,744,90,720,78,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,111.07840259872836,14,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,111.07840259872836,14,-34.32387906966689,4.960170627078403,264,311,-99.98983036032898,28,-88.42098202309047,0,False,BTCUSDT,1536,100,SOLUSDT,1536,100,-0.1268033917682807,-11.909315088945194,False,False,False,0.9078628465361706,WRONG_CANDIDATE_MARKET_LOSS
2023-05,-2.0315153777878514,21,-0.020524344524852,0.021,21.0,-18.44702193271105,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-44.55282377040169,18,-31.601670877044896,2,1097.0,cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,cross_section,long_strong_short_weak,4.0,28.32613616891606,34,0.249404776258286,0.068,68.0,-99.99876731457044,744,42,744,42,cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,28.32613616891606,34,cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,28.32613616891606,34,-27.25857631661634,-2.6924223836568664,187,286,-99.97140903193002,26,-87.91643755893088,22,False,BTCUSDT,1536,100,,1536,0,0.0004756554751480027,0.047576861715170615,False,False,False,0.269929120783138,FEES_TURNED_GROSS_WIN_TO_NET_LOSS
2023-06,3.869113520718148,21,0.0379613967078266,0.021,21.0,-23.57637885798156,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-45.67924168205511,19,-31.601670877044896,2,1118.0,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_reversal,4.0,150.6365075371571,159,0.9188335263788924,0.656,656.0,-99.99999999999812,744,135,702,114,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,150.6365075371571,159,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,150.6365075371571,159,-33.56732895285053,11.505883306356157,381,551,-99.99999999999757,35,-99.44427004007936,37,False,BTCUSDT,1536,100,XRPUSDT,384,50,0.0589613967078266,6.073429211399128,True,False,False,0.8808721296710658,STRICT_MONTH_OK_BUT_BEHIND_ORACLE
2023-07,0.546401014000697,22,0.0054491365914836,0.022,22.0,-16.941562820979982,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-43.57750987741888,19,-31.601670877044896,2,1139.0,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,250.96480401943407,77,1.2555157590011503,0.328,328.0,-99.99997256331164,744,90,684,69,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,250.96480401943407,77,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,250.96480401943407,77,-35.72735096222961,0.22110590133307234,67,319,-99.99886448833654,24,-99.07731136952329,37,False,BTCUSDT,1536,100,XRPUSDT,384,50,0.027449136591483597,2.782933487434369,True,False,False,1.2500666224096668,STRICT_MONTH_OK_BUT_BEHIND_ORACLE
2023-08,10.199136635609296,6,0.0971188761774309,0.006,6.0,-14.98180338921189,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-43.269216819264656,19,-31.601670877044896,2,1161.0,single_symbol_symbol_reversal_lev4p0_symbolADAUSDT_lookback96_threshold_bps100,single_symbol,symbol_reversal,4.0,66.86847747284112,239,0.5120357560974612,0.96,960.0,-100.0,744,108,600,36,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback1536_threshold_bps20,78.59820202044554,2,single_symbol_symbol_reversal_lev4p0_symbolADAUSDT_lookback96_threshold_bps100,66.86847747284112,239,-38.20281083924489,-8.67673243281033,526,604,-100.0,41,-93.20588377221851,0,False,BTCUSDT,1536,100,ADAUSDT,96,100,0.1031188761774309,10.862319013009202,False,False,False,0.41491687992003035,TOO_FEW_TRADES
2023-09,-3.1075998059597265,28,-0.031569099537184,0.028,28.0,-10.91419966866154,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-37.48316672821021,19,-31.601670877044896,2,1167.0,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,163.131891204675,35,0.9674852079571028,0.16,160.0,-99.99983438730833,744,39,714,24,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback1536_threshold_bps20,188.7784940640687,2,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,163.131891204675,35,-30.799676651618707,-5.830560674140214,58,250,-99.96000431073064,25,-90.88507527016404,20,False,BTCUSDT,1536,100,LINKUSDT,384,20,-0.0035690995371840013,-0.3562737872153221,False,False,False,0.9990543074942868,WRONG_CANDIDATE_MARKET_LOSS
2023-10,21.096361544329124,8,0.1914164190686368,0.008,8.0,-10.667669275272452,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,1.0,0,324,-30.723854064802943,20,-31.01136510543604,2,1109.0,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,4.0,319.5755017664935,44,1.434073304097693,0.176,176.0,-99.8909129002598,744,120,738,117,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,319.5755017664935,44,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,319.5755017664935,44,-33.15291162944458,6.591216467352947,57,9,120.24089953131805,26,-87.01197802787426,0,False,BTCUSDT,1536,50,SOLUSDT,1536,100,0.1994164190686368,22.06901787450959,False,False,False,1.2426568850290562,TOO_FEW_TRADES
