month,candidate_count,positive_candidate_count,order10_candidate_count,positive_order10_candidate_count,best_candidate_id,best_return_pct,best_orders,best_order10_candidate_id,best_order10_return_pct,best_order10_orders,median_order10_return_pct,p90_order10_return_pct
2024-11,744,198,618,135,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,5933.561822805518,62,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,5933.561822805518,62,-45.53144025238079,45.6127276004814
2024-12,744,138,708,120,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,597.8761175886285,198,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,597.8761175886285,198,-43.26897067871434,14.401587029825949
2025-01,744,123,684,96,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps100,175.07758519164872,82,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps100,175.07758519164872,82,-37.17983286941319,4.85721808601273
2025-02,744,111,708,93,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps20,164.89605901045363,2,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps50,151.43944784456326,29,-34.248061438158345,7.888356459319791
2025-03,744,123,744,123,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback96_threshold_bps20,778.8300334125375,182,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback96_threshold_bps20,778.8300334125375,182,-37.46424854093488,23.638154122112223
2025-04,744,147,708,129,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps100,116.85778049209236,303,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps100,116.85778049209236,303,-32.44719318661666,8.905480739312898
2025-05,744,72,708,57,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,138.13466679897877,71,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,138.13466679897877,71,-36.27256237158469,-1.6482824874779203
2025-06,744,90,684,63,single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,99.25511697986651,177,single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,99.25511697986651,177,-35.124026549610306,-0.2512190180645531
2025-07,744,129,606,60,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,253.56254993866733,113,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,253.56254993866733,113,-44.430519926696725,-0.0637266120320112
2025-08,744,93,744,93,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback96_threshold_bps20,183.9342643479445,166,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback96_threshold_bps20,183.9342643479445,166,-30.12669675413762,2.858922038487851
2025-09,744,96,726,87,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,73.42191743939996,48,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,73.42191743939996,48,-32.161918877436435,3.6817265568062196
2025-10,744,126,690,108,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,247.2500366377368,95,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,247.2500366377368,95,-34.516877402626704,5.534196074327354
2025-11,744,126,594,54,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps100,139.2775771803728,38,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps100,139.2775771803728,38,-42.395337798828,-3.976576449111443
2025-12,744,126,702,108,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback96_threshold_bps50,95.2543900795518,301,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback96_threshold_bps50,95.2543900795518,301,-33.87262878785003,4.87541693471337
2026-01,744,126,672,90,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,210.406063235613,14,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,210.406063235613,14,-35.59717318321228,10.111733311768047
2026-02,744,123,744,123,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback96_threshold_bps20,90.10700328812976,155,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback96_threshold_bps20,90.10700328812976,155,-33.0815581527128,7.821739097068732
2026-03,744,132,744,132,single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback1536_threshold_bps50,159.6137214262123,49,single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback1536_threshold_bps50,159.6137214262123,49,-36.70765181541681,16.057552561501588
2026-04,744,120,708,102,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,134.53568781762982,215,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,134.53568781762982,215,-32.41071444044711,6.428050437143563
2026-05,744,66,720,54,single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback1536_threshold_bps20,37.8319079120572,2,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,25.642113970043635,49,-30.66803008429359,-1.8255981250607103
