scenario_id,candidate,miss_rate,seed,cost_per_side,round_trip_cost,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders
2C_miss0.02_seed1,2C,0.02,1,0.001,0.002,True,354.5856303300808,269.0355458043444,269.0355458043444,4.863677430479729,0,11,1577.5825620367364,-29.40311707059141,27.353971962616825,816.8,228
2C_miss0.02_seed2,2C,0.02,2,0.001,0.002,True,349.8868930157896,271.8727649240333,271.8727649240333,3.757663734122585,0,11,1573.0068280886478,-29.40311707059141,27.355919003115265,816.8,228
2C_miss0.02_seed3,2C,0.02,3,0.001,0.002,True,358.6308070201726,253.88382248175841,253.88382248175841,5.575755909827906,0,10,1523.0202309619249,-29.40311707059142,27.353971962616825,816.6,226
2C_miss0.05_seed1,2C,0.05,1,0.001,0.002,False,360.7371862045644,257.0603179925364,257.0603179925364,6.1584306755040785,0,9,1545.1096621718864,-29.403117070591435,27.355919003115265,815.5999999999999,224
2C_miss0.05_seed2,2C,0.05,2,0.001,0.002,True,376.98717167656764,270.5713356661173,270.5713356661173,5.396191993148203,0,11,1667.577733037896,-28.894211335933683,27.355919003115265,812.6,224
2C_miss0.05_seed3,2C,0.05,3,0.001,0.002,True,363.22063488840115,260.85855586278603,260.85855586278603,5.575755909827906,0,11,1571.5712935167169,-29.40311707059142,27.355919003115265,816.8,228
2C_miss0.10_seed1,2C,0.1,1,0.001,0.002,False,356.13441753963616,249.51014505631554,249.51014505631554,2.6755179504551307,0,9,1494.236064394564,-31.50282810108265,27.36176012461059,815.6,224
2C_miss0.10_seed2,2C,0.1,2,0.001,0.002,True,343.8326100285096,244.02335644836876,244.02335644836876,4.444339996371949,0,10,1426.88784203248,-29.866447363703962,27.357866043613704,816.6,226
2C_miss0.10_seed3,2C,0.1,3,0.001,0.002,True,346.9307607995316,258.39112451168677,258.39112451168677,3.7625112613558054,0,10,1501.7601794180816,-29.403117070591435,27.35007788161994,816.4,224
3_miss0.02_seed1,3,0.02,1,0.001,0.002,True,344.3940287930775,259.4619384959865,259.4619384959865,5.11302387708088,0,11,1497.4273904600116,-29.40311707059141,29.448987538940806,819.4000000000001,254
3_miss0.02_seed2,3,0.02,2,0.001,0.002,True,349.1442098566709,261.1105332005718,261.1105332005718,5.18894608730216,0,11,1521.907051052922,-29.40311707059141,29.439252336448597,819.4000000000001,254
3_miss0.02_seed3,3,0.02,3,0.001,0.002,True,348.80002570775,261.5157629890296,261.5157629890296,4.404066393830552,0,11,1522.4828372323366,-29.40311707059142,29.447040498442366,819.4000000000001,254
3_miss0.05_seed1,3,0.05,1,0.001,0.002,False,361.9126393292185,260.12233323679817,260.12233323679817,5.11302387708088,0,9,1563.4505742680624,-29.403117070591435,29.447040498442366,818.2,250
3_miss0.05_seed2,3,0.05,2,0.001,0.002,True,356.4667494823082,263.9464727322146,263.9464727322146,6.115712334578505,0,11,1561.2946339362586,-29.177134419475937,29.439252336448597,819.4000000000001,254
3_miss0.05_seed3,3,0.05,3,0.001,0.002,True,355.9730181162866,251.2675600959179,251.2675600959179,5.865186428612046,0,11,1501.6852954328006,-29.40311707059142,29.447040498442366,819.4000000000001,254
3_miss0.10_seed1,3,0.1,1,0.001,0.002,False,332.9702316574232,266.8327603484425,266.8327603484425,2.4047725808604037,0,9,1488.2766522759753,-31.50282810108265,29.435358255451717,814.4000000000001,250
3_miss0.10_seed2,3,0.1,2,0.001,0.002,True,305.0596745556773,255.20230368312937,255.20230368312937,4.444339996371949,0,10,1338.7812953131574,-30.390099549157256,29.445093457943926,819.0,250
3_miss0.10_seed3,3,0.1,3,0.001,0.002,True,341.92289723734916,253.9977110094837,253.9977110094837,5.302787973143541,0,11,1464.3969406470117,-29.403117070591435,29.443146417445483,819.4000000000001,254
4_miss0.02_seed1,4,0.02,1,0.001,0.002,True,294.0296459762555,263.81717048628536,263.81717048628536,4.558896263438661,0,10,1333.5475088679439,-28.684938952349714,29.351635514018692,781.8,226
4_miss0.02_seed2,4,0.02,2,0.001,0.002,True,272.76179918021694,263.1667661661156,263.1667661661156,4.558896263438661,0,10,1253.7469715854263,-30.380954240600865,29.353582554517132,781.8,226
4_miss0.02_seed3,4,0.02,3,0.001,0.002,True,288.6830026715627,265.68217011170435,265.68217011170435,4.558896263438661,0,10,1321.3444390247066,-28.715648663214466,29.34190031152648,781.8,226
4_miss0.05_seed1,4,0.05,1,0.001,0.002,True,282.21319166894364,262.90571152914094,262.90571152914094,4.558896263438661,0,10,1287.0735027844223,-28.82723965703936,29.345794392523366,781.8,226
4_miss0.05_seed2,4,0.05,2,0.001,0.002,True,282.8281885242668,262.3001860953458,262.3001860953458,5.271344069098172,0,10,1286.9872394488627,-29.085233493623463,29.349688473520246,781.8,226
4_miss0.05_seed3,4,0.05,3,0.001,0.002,True,289.81182563403723,267.58719115739655,267.58719115739655,4.558896263438661,0,10,1332.8983406475304,-28.715648663214466,29.339953271028037,781.8,226
4_miss0.10_seed1,4,0.1,1,0.001,0.002,False,219.8398793610936,248.3766759203907,219.8398793610936,-1.2870996275835433,1,10,1014.2475399859675,-29.539997542446304,29.35552959501558,781.8,226
4_miss0.10_seed2,4,0.1,2,0.001,0.002,True,271.5370503554304,255.6086781932509,255.6086781932509,3.60936561606211,0,10,1221.2179937671426,-30.39099591869543,29.330218068535824,781.8,226
4_miss0.10_seed3,4,0.1,3,0.001,0.002,True,278.12190081995266,253.51140633712154,253.51140633712154,4.562493864482664,0,10,1236.7040492572735,-28.715648663214466,29.336059190031154,781.8,226
