month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-01,0.06586270102717974,0.9999000049998333,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-02,0.1025146992509897,1.0679732581372436,1.1833831355077296,-0.06766700206675302,20.3,13,10.795358787798182,-6.766700206675303,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-03,0.34854514671692954,1.1829425129969353,1.6768592454935607,-0.28832514363126094,65.9,11,41.7004514581075,-28.832514363126094,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-04,0.06632843698207498,1.676691567953028,1.7918542615351654,-0.2940311707059141,80.0,16,6.857761994672207,-29.40311707059141,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-05,0.16267498321787036,1.7916750850679846,2.108392833974098,-0.17783438264389462,48.0,12,17.665419517307136,-17.78343826438946,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-06,0.08989159239832537,2.1081820052323135,2.3066991416061873,-0.1815275883768276,48.0,12,9.405567332454945,-18.152758837682757,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-07,0.05425857473835014,2.306468483225138,2.435315055316244,-0.07525493122970284,32.4,14,5.575755909827906,-7.525493122970284,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-08,0.09101474132181223,2.4350715359868818,2.6673644183146523,-0.09722674102696938,32.2,12,9.528515109034807,-9.722674102696939,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-09,0.05976242129193255,2.6670976952091987,2.8316322068796227,-0.10192151979435926,32.2,12,6.1584306755040785,-10.192151979435927,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-10,0.11288325522375074,2.831349057816624,3.170015736806747,-0.16468621952538975,51.9,16,11.950122939871921,-16.468621952538975,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-11,0.20004930992724415,3.169698751082617,3.8720568904831394,-0.10856216691394205,36.2,14,22.146298692623635,-10.856216691394206,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-12,0.17030175358101537,3.8716697041537302,4.5909529443752515,-0.11251118499351631,32.2,12,18.56625752733738,-11.25111849935163,2C_cost0.0010_delay0,2C,0.001,0.002,0
2026-01,0.10944515013232718,4.590493872034814,5.121937399464853,-0.2098909446623689,68.3,13,11.565887551519282,-20.989094466236892,2C_cost0.0010_delay0,2C,0.001,0.002,0
2026-02,0.2593753564052713,5.077782216912411,6.638646631886325,-0.2442711463198597,60.1,11,29.612022055949573,-24.42711463198597,2C_cost0.0010_delay0,2C,0.001,0.002,0
2026-03,0.21158692714390342,6.637982800415264,8.202959873797742,-0.2925249695229706,36.0,12,23.563737138798956,-29.252496952297058,2C_cost0.0010_delay0,2C,0.001,0.002,0
2026-04,0.18975958475467902,8.202139618823793,9.917041432416731,-0.1122949787301546,36.0,12,20.895891056278117,-11.22949787301546,2C_cost0.0010_delay0,2C,0.001,0.002,0
2026-05,0.13330054833545787,9.91604977785704,11.331145604859818,-0.0950269055650087,32.2,12,14.259335126106066,-9.50269055650087,2C_cost0.0010_delay0,2C,0.001,0.002,0
2026-06,0.37910887719669967,11.330012546953169,16.554600841356685,-0.2113058144879908,54.7,12,46.09820947192284,-21.13058144879908,2C_cost0.0010_delay0,2C,0.001,0.002,0
2025-01,0.019516285726397176,0.9999000049998333,1.0197079734104932,-0.18854483978330894,66.0,12,1.970797341049324,-18.854483978330894,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-02,0.10346602861442762,1.019606007711522,1.1308644206879133,-0.10719514878118652,20.3,13,10.900811818274668,-10.719514878118652,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-03,0.08617390812485269,1.1304433530679174,1.2326375491667132,-0.28043515638651717,65.9,11,8.9995870961163,-28.043515638651716,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-04,0.1177162529775235,1.2325142915747789,1.3866246372125155,-0.33512024922925077,80.0,16,12.492487199493517,-33.51202492292508,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-05,0.1503568088204917,1.3864859816816864,1.6116029168836323,-0.1319183890768626,48.0,12,16.22488694008659,-13.19183890768626,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-06,0.05064822149847008,1.61144176464969,1.6953301587065503,-0.17505694019954698,48.0,12,5.195277381653152,-17.5056940199547,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-07,0.057995491499678115,1.695160634167048,1.796558692057533,-0.07352282089194673,32.4,14,5.971021799565834,-7.352282089194673,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-08,0.10048984114791866,1.7963790451708213,1.9864772390860301,-0.09511719503689131,32.2,12,10.571240887821487,-9.51171950368913,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-09,0.06874104980617349,1.9862786012941767,2.1278325686024586,-0.09420667109092784,32.2,12,7.115879645390022,-9.420667109092784,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-10,0.09136136760443857,2.1276197959844065,2.331391397888404,-0.16159402363153696,51.9,16,9.566487151742443,-16.159402363153696,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-11,0.20157316758411012,2.331158270405184,2.852051110729108,-0.11913642317440853,36.2,14,22.332574157744634,-11.913642317440853,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-12,0.2552619957350054,2.851765919877815,3.6814268909691927,-0.08459808730000762,28.4,12,29.079976060739664,-8.459808730000763,2C_cost0.0010_delay1,2C,0.001,0.002,1
2026-01,0.09642860426117195,3.681058766686617,4.0541012514178165,-0.1564623805940365,44.3,13,10.123095513938441,-15.64623805940365,2C_cost0.0010_delay1,2C,0.001,0.002,1
2026-02,0.2694718804831287,4.019151667523811,5.3079245601286935,-0.23410762015542297,60.1,11,30.927281558949193,-23.410762015542296,2C_cost0.0010_delay1,2C,0.001,0.002,1
2026-03,0.2131902077994121,5.3073937942114195,6.5691937737278785,-0.2827379319698142,36.0,12,23.762003384023323,-28.273793196981423,2C_cost0.0010_delay1,2C,0.001,0.002,1
2026-04,0.19699978126387338,6.568536887195379,7.999594820398909,-0.10679457809186521,36.0,12,21.774377434132287,-10.679457809186522,2C_cost0.0010_delay1,2C,0.001,0.002,1
2026-05,0.14713415931573098,7.998794900913508,9.267605615071165,-0.09049555405500553,32.2,12,15.85093774298214,-9.049555405500554,2C_cost0.0010_delay1,2C,0.001,0.002,1
2026-06,0.4277106406162521,9.26667890084614,14.214117955003893,-0.22228019941771837,54.7,12,53.37422140502621,-22.228019941771837,2C_cost0.0010_delay1,2C,0.001,0.002,1
2025-01,0.04387759194547118,0.9999000049998333,1.0448544484599132,-0.1936318196414184,50.2,12,4.485444845991315,-19.36318196414184,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-02,0.10251650768465546,1.0447499682391652,1.1576523285169817,-0.08282092091475546,20.3,13,10.795559154036205,-8.282092091475546,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-03,0.08365433626759618,1.157221286650394,1.2586609728272173,-0.22469559962025865,65.9,11,8.725300491524358,-22.469559962025865,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-04,0.11869248007470545,1.2585351130230296,1.41728194765548,-0.3344708586754266,80.0,16,12.60235903493272,-33.44708586754266,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-05,0.1656347200716312,1.4171402265468882,1.672593868391392,-0.12090239024101701,48.0,12,18.014194081725087,-12.0902390241017,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-06,0.06780544820921935,1.6724266173672433,1.7899381823445626,-0.15037697184766596,48.0,12,7.015708724678382,-15.037697184766596,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-07,0.04890723291982455,1.7897591974757208,1.8796551274588102,-0.08034091434298984,32.4,14,5.012292938336649,-8.034091434298984,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-08,0.09627341977250614,1.8794671713440267,2.0696132145539354,-0.10215436972786418,32.2,12,10.106007443606835,-10.215436972786417,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-09,0.08558419728724785,2.069406263580201,2.2545399396190398,-0.09447690116240282,32.2,12,8.935327807372984,-9.447690116240281,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-10,0.09610520490972485,2.254314496897402,2.481966374985706,-0.1399477638186265,51.9,16,10.087487534378958,-13.99477638186265,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-11,0.2299065351584055,2.4817181907576256,3.123510952101863,-0.10792131646568237,36.2,14,25.848238057610896,-10.792131646568237,2C_cost0.0010_delay2,2C,0.001,0.002,2
2025-12,0.1780924087193412,3.123198616623687,3.732394866619565,-0.15796637895686827,63.800000000000004,12,19.49357386142583,-15.796637895686827,2C_cost0.0010_delay2,2C,0.001,0.002,2
2026-01,0.08488160096869314,3.7320216457942554,4.063040902359564,-0.1824408403190655,68.3,13,8.85881712830312,-18.24408403190655,2C_cost0.0010_delay2,2C,0.001,0.002,2
2026-02,0.29506385811488867,4.028014251549565,5.457525828563707,-0.2291696949432429,60.1,11,34.321213094219786,-22.91696949432429,2C_cost0.0010_delay2,2C,0.001,0.002,2
2026-03,0.18026776144044904,5.45698010326757,6.535594427552628,-0.27838775652535597,36.0,12,19.753797468928227,-27.838775652535595,2C_cost0.0010_delay2,2C,0.001,0.002,2
2026-04,0.19829694009932813,6.534940900786755,7.9690097957245705,-0.12247456709108606,36.0,12,21.9324406381304,-12.247456709108606,2C_cost0.0010_delay2,2C,0.001,0.002,2
