policy,feature_set,max_depth,train_accuracy,tree_depth,leaf_count,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,max_drawdown_pct,trade_count,turnover,hard_pass_relaxed
decision_tree,market_only,-1,1.0,16,100,2349453758140.499,3774017741.589709,3774017741.589709,-31.94397256122524,161,1330.0,True
decision_tree,market_plus_time,-1,1.0,15,94,2349453758140.499,3774017741.589709,3774017741.589709,-31.94397256122524,161,1330.0,True
event_index_lookup,event_index_memory,-1,1.0,-1,36,2349453758140.499,3774017741.589709,3774017741.589709,-31.94397256122524,161,1330.0,True
decision_tree,market_only,12,0.968944099378882,12,95,1224303245387.8105,2403903611.50722,2403903611.50722,-31.94397256122523,158,1302.0,True
decision_tree,market_plus_time,12,0.968944099378882,12,89,1265656655429.5962,124848558.05373593,124848558.05373593,-51.323426296054485,162,1330.0,False
decision_tree,market_only,8,0.7888198757763976,8,64,234107185.29655012,27411831.466216408,27411831.466216408,-61.80357782409336,162,1318.0,False
decision_tree,market_plus_time,8,0.8012422360248447,8,61,265136212.34295633,1886427.3848747872,1886427.3848747872,-74.25212215608533,161,1312.0,False
decision_tree,market_plus_time,6,0.6149068322981367,6,37,1044508.0602632647,331388.95497865055,331388.95497865055,-82.03898431017282,152,1220.0,False
decision_tree,market_plus_time,5,0.5217391304347826,5,25,88060.82487164237,108231.26809242491,88060.82487164237,-80.7218846493804,134,1068.0,False
decision_tree,market_only,5,0.5031055900621118,5,25,49491.76951420693,419324.8131430108,49491.76951420693,-80.72188464938041,133,1064.0,False
decision_tree,market_only,6,0.5962732919254659,6,36,10795.242955028923,2079293.0618667786,10795.242955028923,-94.02406125403525,153,1232.0,False
decision_tree,market_only,3,0.35403726708074534,3,8,1275.4877678805894,197681.88994181674,1275.4877678805894,-83.5210514471862,130,1036.0,False
decision_tree,market_plus_time,3,0.35403726708074534,3,8,1275.4877678805894,197681.88994181674,1275.4877678805894,-83.5210514471862,130,1036.0,False
decision_tree,market_plus_time,4,0.42857142857142855,4,14,3024.1644164897098,96.25939497825304,96.25939497825304,-85.34751135297614,132,1052.0,False
decision_tree,market_only,4,0.4161490683229814,4,14,7323.1419425503955,96.25939497825304,96.25939497825304,-85.3475113529762,133,1060.0,False
