combo_id,order,candidate_id,feature,op,threshold,source_threshold,horizon,side,rebuilt_trades,source_trade_count_delta,source_month_trade_abs_delta,max_concurrent_single,exact_net_2025_bps,exact_net_2026_bps
616,1,0,tf4h_donchian_pos_8,<=,0.0237561631555356,0.0237561631555356,128,1,2640,0,0,128,54899.345264498144,15035.329751681233
616,2,61,premium_close_bps_z_3,>=,1.1522511074415067,1.1522511074415067,128,-1,5200,0,0,80,8237.794782842364,65404.80143866054
616,3,114,tf4h_ret_bps_5,>=,547.7559188775949,547.7559188775949,128,-1,2640,0,0,128,128576.60744002748,55500.286664455496
616,4,124,tf4h_donchian_pos_32,<=,0.0157871744271881,0.0157871744271881,128,1,1360,0,0,80,34456.56859143589,10698.481817834796
616,5,182,tf1h_donchian_pos_3,>=,0.9998849384420682,0.9998849384420682,128,1,520,0,0,20,6987.583692753759,2595.2812830911835
616,6,188,premium_close_chg_1,<=,-4.6795,-4.6795,64,1,1360,0,0,64,6192.601580864279,11001.210581332543
616,7,228,tf1h_quote_volume_z_128,>=,6.398923019670713,6.398923019670713,128,1,520,0,0,20,-6272.757771764398,6307.002953486388
