selector_id,bucket_family_filter,selected_candidate_count,hard_pass_complete_years,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,max_drawdown_pct
all_calendar,all,4,False,77.76196871968064,-1.3217331843579538,71.63931867520834,-26.911625268968876,43.59927657304039,-26.911625268968876,22,-25.363412626054206,0,472,834.0,0.8340000000000001,-46.37017784636315
weekday_only,weekday,4,False,77.76196871968064,-1.3217331843579538,71.63931867520834,-26.911625268968876,43.59927657304039,-26.911625268968876,22,-25.363412626054206,0,472,834.0,0.8340000000000001,-46.37017784636315
session_only,session,2,False,-98.87371802218809,-75.11970673153922,-74.07282266117254,-67.93097775884311,-45.555917601154206,-75.11970673153922,34,-32.734505913447364,2,2126,4170.0,4.169999999999999,-98.87711453929043
hour_only,hour,2,False,-88.71555778476484,-76.82355561905764,-51.31072726360828,0.0,0.0,-76.82355561905764,40,-53.17531282423899,0,1983,2138.0,2.138,-88.76680346118901
hour_week_only,hour_week,1,False,-99.99999474784495,-99.69555325192601,-99.3378259198056,-98.77920615109097,-78.65915116277236,-99.69555325192601,41,-50.615592225371266,296,15994,17734.0,17.734,-99.99999477628151
