selector_id,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct
all_calendar,2023-01,0.03495703867515499,0.008,8.0,8,12.903225806451612,-4.851261589232303,3.5575218160592836
all_calendar,2023-02,0.10157353732578667,0.008,8.0,8,14.285714285714285,-3.561159043587281,10.691131469703151
all_calendar,2023-03,-0.015900495097456824,0.01,10.0,10,16.129032258064516,-9.976494424477567,-1.57747495794478
all_calendar,2023-04,-0.06929604065068327,0.008,8.0,8,13.333333333333334,-13.921520663737452,-6.6949581665097675
all_calendar,2023-05,-0.03269394851206563,0.01,10.0,10,16.09543010752688,-14.581973336235565,-3.216527847708339
all_calendar,2023-06,0.0,0.0,0.0,0,0.0,-13.682993795535436,0.0
all_calendar,2023-07,0.0,0.0,0.0,0,0.0,-13.682993795535436,0.0
all_calendar,2023-08,0.0,0.0,0.0,0,0.0,-13.682993795535436,0.0
all_calendar,2023-09,-0.050207498420497404,0.034,34.0,18,99.96527777777777,-18.45906874139662,-4.896793362594265
all_calendar,2023-10,-0.015086186033991672,0.038,38.0,20,99.96639784946237,-23.514468501909835,-1.4972959629432903
all_calendar,2023-11,-0.1033518130920694,0.034,34.0,18,99.96527777777777,-28.96907217644492,-9.81903507757762
all_calendar,2023-12,0.1366999476404327,0.018000000000000002,18.0,10,99.96639784946237,-27.15155841705438,14.648409164853593
all_calendar,2024-01,0.013044191898276446,0.018000000000000002,18.0,10,99.96639784946237,-23.19394488304698,1.31296384924664
all_calendar,2024-02,0.3091488854518285,0.018000000000000002,18.0,10,99.96408045977012,-18.368814892892527,36.22651768719572
all_calendar,2024-03,0.18720048718177543,0.018000000000000002,18.0,10,99.96639784946237,-17.599913620318898,20.58690220983561
all_calendar,2024-04,-0.27578632399705966,0.034,34.0,18,99.96527777777777,-28.910509745236013,-24.102491180077447
all_calendar,2024-05,-0.003398251987194202,0.038,38.0,20,99.96639784946237,-36.44229716632432,-0.33924844639254825
all_calendar,2024-06,-0.05947915294493565,0.018000000000000002,18.0,10,99.96527777777777,-34.5605298697824,-5.774482336796849
all_calendar,2024-07,0.12406349164738618,0.018000000000000002,18.0,10,99.96639784946237,-35.12480341976113,13.208774683342561
all_calendar,2024-08,-0.2925393516364516,0.02,20.0,11,99.96639784946237,-46.37017784636315,-25.363412626054206
all_calendar,2024-09,0.003277614635662799,0.018000000000000002,18.0,10,99.96527777777777,-45.25155220929836,0.3282991887761266
all_calendar,2024-10,0.121723475414528,0.02,20.0,11,99.96639784946237,-45.318879310261885,12.94417401854593
all_calendar,2024-11,0.2527257874960618,0.018000000000000002,18.0,10,99.96527777777777,-37.96083648360587,28.753017155166383
all_calendar,2024-12,0.16024425146857335,0.018000000000000002,18.0,10,99.96639784946237,-18.4488900012854,17.379753775340046
all_calendar,2025-01,0.045781658972277726,0.022,22.0,12,99.96639784946237,-10.961973564357674,4.68458166106176
all_calendar,2025-02,-0.2393238138744451,0.018000000000000002,18.0,10,99.96279761904762,-33.24620464023802,-21.28400522132633
all_calendar,2025-03,0.0909009161689134,0.018000000000000002,18.0,10,99.96639784946237,-34.77864740275346,9.516048718563596
all_calendar,2025-04,0.14789264393570248,0.018000000000000002,18.0,10,99.96527777777777,-29.81988419751841,15.93884223035602
all_calendar,2025-05,-0.15047002263742335,0.036000000000000004,36.0,19,99.96639784946237,-22.699554236814258,-13.969648074861297
all_calendar,2025-06,0.12534741859401735,0.036000000000000004,36.0,19,99.96527777777777,-24.307978244558758,13.354219830245139
all_calendar,2025-07,-0.07712284871649586,0.036000000000000004,36.0,19,99.96639784946237,-20.227087412972367,-7.422388378724721
