month,log_return,return_pct,event_window_bar_share,net_log_inside_event_window,net_log_outside_event_window,positive_log_inside_share,candidate_id
2025-06,1.0800286692952237,194.47639741630823,0.9739583333333334,1.2116104175170719,-0.13158174822184832,0.9862377612195345,single_symbol_symbol_reversal_lev4p0_symbolHYPEUSDT_lookback1536_threshold_bps400
2025-07,0.3761992216301613,45.6737318447892,0.48588709677419356,0.4763962918710204,-0.1001970702408591,0.49039909112920255,single_symbol_symbol_reversal_lev2p0_symbolHYPEUSDT_lookback192_threshold_bps50
2025-08,0.35727944775682496,42.94352665247829,0.9038978494623656,0.3844058785555998,-0.027126430798774817,0.9643551888198206,single_symbol_symbol_reversal_lev4p0_symbolHYPEUSDT_lookback1536_threshold_bps400
2025-09,0.7191274518112756,105.2641400501114,0.671875,0.7285511814558194,-0.009423729644543822,1.0,single_symbol_symbol_reversal_lev4p0_symbolHYPEUSDT_lookback1536_threshold_bps400
2025-10,0.8410787438639928,131.88670916934143,0.8541666666666666,0.8410787438639928,0.0,1.0,single_symbol_symbol_reversal_lev4p0_symbolHYPEUSDT_lookback1536_threshold_bps0
2025-11,0.2777091349297957,32.01021697514346,0.9413194444444445,0.27770913492979576,0.0,1.0,pair_long_weak_short_strong_lev4p0_lookback1536_threshold_bps0
2025-12,0.10423202779964548,10.98579429386568,0.876008064516129,0.1225746954859972,-0.018342667686351722,0.8669920103552725,single_symbol_symbol_momentum_lev1p0_symbolHYPEUSDT_lookback768_threshold_bps100
2026-01,0.17626306605009093,19.27517898849458,0.7926747311827957,0.17626306605009096,0.0,1.0,pair_long_strong_short_weak_lev1p0_lookback1536_threshold_bps0
2026-02,0.05111138051903097,5.24401080808472,0.7470238095238095,0.049070967409776844,0.0020404131092541904,0.9927275203731811,single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback16_threshold_bps400
2026-03,0.10599775541149785,11.181938092673116,0.7825940860215054,0.0881043110121621,0.017893444399335712,0.7617921732742795,single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback1536_threshold_bps400
2026-04,0.06466382020505944,6.680032737892727,0.5784722222222223,0.10260953360653713,-0.03794571340147766,0.69635586334618,single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback1536_threshold_bps100
2026-05,0.2984497914890329,34.776786608028274,0.8743279569892473,0.2996729040210024,-0.0012231125319694702,1.0,pair_long_strong_short_weak_lev1p0_lookback1536_threshold_bps50
