method,order_floor,round_trip_cost,round_trip_cost_pct,monthly_requirement,annual_threshold_pct,scenario_pass,annual_2025_2026_pass,monthly_requirement_pass,order_floor_pass,non_passing_months,non_passing_month_list,month_fail_count,order_fail_count,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,selected_candidate_count
monthly_oracle,0,0.0,0.0,allow_any,50.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,0,0.0,0.0,allow_any,100.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,0,0.0,0.0,return_ge_minus1,50.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,0,0.0,0.0,return_ge_minus1,100.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,0,0.0,0.0,return_gt_0,50.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,0,0.0,0.0,return_gt_0,100.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,2,0.0,0.0,allow_any,50.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,2,0.0,0.0,allow_any,100.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,2,0.0,0.0,return_ge_minus1,50.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,2,0.0,0.0,return_ge_minus1,100.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,2,0.0,0.0,return_gt_0,50.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,2,0.0,0.0,return_gt_0,100.0,True,True,True,True,0,,0,0,3.4204471871373427e+19,4401400.0764109595,99948439.87854157,6248014.8592501655,12343.905856634528,52.15599082982614,2,23696,141188.0,0.0,23
monthly_oracle,5,0.0,0.0,allow_any,50.0,True,True,True,True,0,,0,0,2.016013846058711e+19,3462154.727574725,84085155.71173474,5564807.213253533,12343.905856634528,52.15599082982614,9,25090,149796.0,0.0,23
monthly_oracle,5,0.0,0.0,allow_any,100.0,True,True,True,True,0,,0,0,2.016013846058711e+19,3462154.727574725,84085155.71173474,5564807.213253533,12343.905856634528,52.15599082982614,9,25090,149796.0,0.0,23
monthly_oracle,5,0.0,0.0,return_ge_minus1,50.0,True,True,True,True,0,,0,0,2.016013846058711e+19,3462154.727574725,84085155.71173474,5564807.213253533,12343.905856634528,52.15599082982614,9,25090,149796.0,0.0,23
monthly_oracle,5,0.0,0.0,return_ge_minus1,100.0,True,True,True,True,0,,0,0,2.016013846058711e+19,3462154.727574725,84085155.71173474,5564807.213253533,12343.905856634528,52.15599082982614,9,25090,149796.0,0.0,23
monthly_oracle,5,0.0,0.0,return_gt_0,50.0,True,True,True,True,0,,0,0,2.016013846058711e+19,3462154.727574725,84085155.71173474,5564807.213253533,12343.905856634528,52.15599082982614,9,25090,149796.0,0.0,23
monthly_oracle,5,0.0,0.0,return_gt_0,100.0,True,True,True,True,0,,0,0,2.016013846058711e+19,3462154.727574725,84085155.71173474,5564807.213253533,12343.905856634528,52.15599082982614,9,25090,149796.0,0.0,23
monthly_oracle,10,0.0,0.0,allow_any,50.0,True,True,True,True,0,,0,0,1.199700300703647e+19,2877323.0753276357,84085155.71173474,5564807.213253533,8810.278300956013,52.15599082982614,10,25224,150268.0,0.0,23
monthly_oracle,10,0.0,0.0,allow_any,100.0,True,True,True,True,0,,0,0,1.199700300703647e+19,2877323.0753276357,84085155.71173474,5564807.213253533,8810.278300956013,52.15599082982614,10,25224,150268.0,0.0,23
monthly_oracle,10,0.0,0.0,return_ge_minus1,50.0,True,True,True,True,0,,0,0,1.199700300703647e+19,2877323.0753276357,84085155.71173474,5564807.213253533,8810.278300956013,52.15599082982614,10,25224,150268.0,0.0,23
monthly_oracle,10,0.0,0.0,return_ge_minus1,100.0,True,True,True,True,0,,0,0,1.199700300703647e+19,2877323.0753276357,84085155.71173474,5564807.213253533,8810.278300956013,52.15599082982614,10,25224,150268.0,0.0,23
