month,log_return_1x_no_cost,signal_bars,win_rate,avg_edge_bps,return_pct_1x_no_cost
2024-01,-0.10979529656045806,2903,0.4950051670685498,-0.3782132158472548,-10.39824656041447
2024-02,0.1161376782521053,2784,0.4895833333333333,0.41716120061819434,12.315049488590235
2024-03,0.07890867486279696,2976,0.49428763440860213,0.2651501171464951,8.21054941249264
2024-04,-0.1468796164383619,2880,0.4909722222222222,-0.5099986681887565,-13.66020899241721
2024-05,0.03676879222051177,2976,0.4895833333333333,0.12355104912806374,3.7453125872878523
2024-06,0.014212527438859368,2880,0.4878472222222222,0.049349053607150584,1.4314005590699397
2024-07,-0.008021714778569944,2976,0.49260752688172044,-0.026954686755947393,-0.7989626682418871
2024-08,0.08114765329332307,2976,0.4959677419354839,0.2726735661738006,8.453101932185735
2024-09,0.04487543015748763,2880,0.49722222222222223,0.1558174658246098,4.589756449855242
2024-10,0.06792167724811193,2976,0.49831989247311825,0.2282314423659675,7.0281477805256065
2024-11,0.00018466512868542395,2880,0.49375,0.0006411983634910553,0.018468218033995676
2024-12,-0.04219359023459468,2976,0.5013440860215054,-0.14177953707861116,-4.131582928657451
2025-01,0.006512740802159911,2976,0.49831989247311825,0.02188420968467712,0.653399481410899
2025-02,-0.08299710366354063,2688,0.48735119047619047,-0.30876898684352916,-7.964618712943183
2025-03,0.12754156129813055,2976,0.4993279569892473,0.4285670742544709,13.603208222807318
2025-04,0.07110864772429792,2880,0.49930555555555556,0.24690502682047888,7.369787436207886
2025-05,-0.0324880836703656,2976,0.49294354838709675,-0.1091669478170887,-3.196601482535888
2025-06,-0.03411208180539127,2880,0.4826388888888889,-0.11844472849094191,-3.3536824370804075
2025-07,0.029792634311478494,2976,0.4956317204301075,0.10010965830469924,3.024087519310714
2025-08,0.08901607752412133,2976,0.4993279569892473,0.299113163723526,9.309823049822308
2025-09,0.0014877145908087641,2880,0.5010416666666667,0.0051656756625304305,0.14888217871567022
2025-10,0.1163323971598782,2976,0.5020161290322581,0.39090187217701006,12.336921481729313
2025-11,-0.13561522550957328,2880,0.48819444444444443,-0.47088619968601836,-12.68214553110636
2025-12,-0.2068588879095863,2976,0.4963037634408602,-0.695090349158556,-18.68656150150145
2026-01,0.13671205772166317,2976,0.4899193548387097,0.459381914387309,14.649797574808376
2026-02,0.21754268214056438,2688,0.5100446428571429,0.8093105734395996,24.301848306512163
2026-03,0.04608628224754163,2976,0.49798387096774194,0.15485981938018023,4.716475878810877
2026-04,-0.03285981427571549,2880,0.49444444444444446,-0.11409657734623435,-3.2325795809722613
2026-05,0.06680713787902093,2976,0.49260752688172044,0.22448635039993592,6.908927146609689
2026-06,0.2612353538764385,1824,0.5131578947368421,1.4322113699366144,29.853324430542493
