cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders
0.001,0.002,0,True,503.3553082878282,199.60831853078088,199.60831853078088,7.5664965833874165,0,12,1707.7026939273733,-31.281874597645974,28.773364485981308,1101.0,262
0.0015,0.003,0,True,393.13692863645275,174.1999140371567,174.1999140371567,4.6054843196311035,0,12,1252.1810344066314,-33.91029416307706,29.07710280373832,1191.0,264
0.002,0.004,0,False,-50.47260306606469,133.87007877294798,-50.47260306606469,-89.03082355960656,2,11,15.829762223585075,-92.6779376361904,33.237928348909655,1692.0,304
0.001,0.002,1,True,611.6469766298829,191.426621562033,191.426621562033,1.838080997503333,0,12,1973.9287414408209,-37.58622329706316,28.779205607476637,1121.0,262
0.0015,0.003,1,False,-56.976004766978406,167.5290723503022,-56.976004766978406,-87.78518140577155,1,11,15.101695334940812,-92.09826182108583,33.161993769470406,1712.0,304
