month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
2025-01,0.14839964102474976,0.9880717128619305,1.159976377892035,-0.19667721921460335,76.0,14,15.99763778920349,-19.667721921460334
2025-02,0.08579101114888611,1.146139846583161,1.2638854317440134,-0.05730060813285587,52.25,13,8.957859473035757,-5.730060813285586
2025-03,0.22367272894176368,1.2478032750877488,1.5806930357897064,-0.13340085011908487,51.75,13,25.06616470834193,-13.340085011908487
2025-04,0.14202795744874253,1.56183807538166,1.821920817102124,-0.31281874597645976,114.0,24,15.260887209002028,-31.281874597645974
2025-05,0.19507169256489898,1.8001884224529037,2.214359132933834,-0.16691292090795373,64.5,14,21.539811837481903,-16.691292090795372
2025-06,0.12162582711732389,2.187945621369393,2.500745427040733,-0.16644486072274778,64.0,12,12.933145750728436,-16.644486072274777
2025-07,0.08436111454475381,2.4709158175277772,2.7208653491775756,-0.15572353464943156,64.5,14,8.802172334563574,-15.572353464943156
2025-08,0.07293904321100804,2.688410086028562,2.926739532861669,-0.17757405190220843,64.0,12,7.5664965833874165,-17.757405190220844
2025-09,0.08519921669833201,2.8918285433353557,3.187026124791456,-0.10666630514414355,44.0,12,8.89339789233954,-10.666630514414354
2025-10,0.1161981458677056,3.149010362058415,3.57972642025075,-0.1758433189445059,67.5,26,12.321841117163569,-17.58433189445059
2025-11,0.20883886468244503,3.5370264156342657,4.411105080657365,-0.1332685288658143,44.5,14,23.224642411315322,-13.326852886581431
2025-12,0.31321082826628605,4.358488152659087,6.033553082878272,-0.12246046161418878,44.0,12,36.78098736154165,-12.246046161418878
2026-01,0.12560611411512604,5.961583129242915,6.841056546935161,-0.2609134181364241,64.25,13,13.383547852564437,-26.09134181364241
2026-02,0.08313410657378496,6.748341412914967,7.434090846493839,-0.20979918897395722,87.75,13,8.668753071838875,-20.97991889739572
2026-03,0.22245365747244653,7.345414876266366,9.286204852167243,-0.14589684172923456,44.0,12,24.913793010034556,-14.589684172923455
2026-04,0.13265100324018625,9.175436334267658,10.603466255702823,-0.12414269152362256,46.0,20,14.185142633679227,-12.414269152362255
2026-05,0.13946295625103436,10.47698506554597,12.19034090636084,-0.10321939550620829,44.0,12,14.965621735293855,-10.32193955062083
2026-06,0.39399799307348676,12.044931019718813,18.077026939273733,-0.248068314898231,64.0,12,48.289757260531175,-24.8068314898231
