month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,candidate,market_return_pct,market_max_drawdown_pct,market_max_runup_pct,market_regime,shock_month,complete_month,partial_month,data_end_utc,label_rule_version,is_posthoc_label,year
2025-01,0.0658627010271797,0.9999000049998332,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,2C,9.343573509684798,-11.414456273571194,20.18488897511848,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-01,0.0658627010271797,0.9999000049998332,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,3,9.343573509684798,-11.414456273571194,20.18488897511848,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-01,0.0516875264984234,0.9999000049998332,1.0530466419269098,-0.161252206937713,50.0,10,5.304664192690978,-16.125220693771304,4,9.343573509684798,-11.414456273571194,20.18488897511848,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-02,0.1025146992509897,1.0679732581372436,1.1833831355077296,-0.067667002066753,20.3,13,10.795358787798182,-6.766700206675303,2C,-17.737226277372255,-23.62306975693757,9.881722887462118,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-02,0.1025146992509897,1.0679732581372436,1.1833831355077296,-0.067667002066753,20.3,13,10.795358787798182,-6.766700206675303,3,-17.737226277372255,-23.62306975693757,9.881722887462118,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-02,0.1031992395571754,1.052941342527775,1.1675257500740075,-0.0854392539133088,20.1,11,10.871228641650532,-8.543925391330887,4,-17.737226277372255,-23.62306975693757,9.881722887462118,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-03,0.3485451467169295,1.182942512996935,1.6768592454935607,-0.2883251436312609,65.9,11,41.7004514581075,-28.83251436312609,2C,-2.3314746713411383,-18.76783829014765,15.16188600912114,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-03,0.3485451467169295,1.182942512996935,1.6768592454935607,-0.2883251436312609,65.9,11,41.7004514581075,-28.83251436312609,3,-2.3314746713411383,-18.76783829014765,15.16188600912114,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-03,0.218988349688603,1.1670910319240029,1.45335563788581,-0.1808237608417608,50.1,11,24.481677410000117,-18.08237608417609,4,-2.3314746713411383,-18.76783829014765,15.16188600912114,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-04,0.0663284369820749,1.676691567953028,1.7918542615351654,-0.2940311707059141,80.0,16,6.857761994672207,-29.40311707059141,2C,14.176974425597956,-14.880678216534948,27.86745816378742,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-04,0.0635063572376614,1.676691567953028,1.7868046344951645,-0.2940311707059141,80.8,24,6.556625983789255,-29.40311707059141,3,14.176974425597956,-14.880678216534948,27.86745816378742,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-04,0.0731971918440514,1.4532103095885571,1.5637273645530472,-0.2871564866321446,80.8,24,7.594268311904329,-28.715648663214463,4,14.176974425597956,-14.880678216534948,27.86745816378742,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-05,0.1626749832178703,1.7916750850679846,2.108392833974098,-0.1778343826438946,48.0,12,17.665419517307136,-17.78343826438946,2C,10.953837467470985,-7.774639525703709,19.537457222434785,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-05,0.1599440997407659,1.7866259629654404,2.096717452593471,-0.1801513287381621,48.2,14,17.344527326338998,-18.01513287381621,3,10.953837467470985,-7.774639525703709,19.537457222434785,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
