market_regime,chosen_candidate,chosen_total_return_pct,candidate_returns
down,4,116.6909287305165,"[{""candidate"": ""2C"", ""log_return"": 0.7623992570376443, ""months"": 5, ""min_monthly_return_pct"": 9.528515109034808, ""min_orders"": 11, ""total_return_pct"": 114.34126541155653}, {""candidate"": ""3"", ""log_return"": 0.7609211175610964, ""months"": 5, ""min_monthly_return_pct"": 9.528515109034808, ""min_orders"": 11, ""total_return_pct"": 114.02467316708918}, {""candidate"": ""4"", ""log_return"": 0.7733018607205588, ""months"": 5, ""min_monthly_return_pct"": 8.517732674974642, ""min_orders"": 10, ""total_return_pct"": 116.6909287305165}]"
sideways,2C,190.52203034954917,"[{""candidate"": ""2C"", ""log_return"": 1.066509223399382, ""months"": 6, ""min_monthly_return_pct"": 9.405567332454943, ""min_orders"": 11, ""total_return_pct"": 190.52203034954917}, {""candidate"": ""3"", ""log_return"": 1.0634472099325514, ""months"": 6, ""min_monthly_return_pct"": 9.405567332454943, ""min_orders"": 11, ""total_return_pct"": 189.63380854775892}, {""candidate"": ""4"", ""log_return"": 0.8638658245326221, ""months"": 6, ""min_monthly_return_pct"": 7.22868753869248, ""min_orders"": 10, ""total_return_pct"": 137.23139393114624}]"
up,2C,81.96545984600397,"[{""candidate"": ""2C"", ""log_return"": 0.5986467020120865, ""months"": 6, ""min_monthly_return_pct"": 5.575755909827906, ""min_orders"": 12, ""total_return_pct"": 81.96545984600397}, {""candidate"": ""3"", ""log_return"": 0.5853679449139227, ""months"": 6, ""min_monthly_return_pct"": 5.11302387708088, ""min_orders"": 12, ""total_return_pct"": 79.56515649645522}, {""candidate"": ""4"", ""log_return"": 0.5919169756742371, ""months"": 6, ""min_monthly_return_pct"": 4.558896263438661, ""min_orders"": 10, ""total_return_pct"": 80.74499340702945}]"
