candidate,months,log_return,total_return_pct,return_2025_complete_pct,return_2026_complete_pct,min_monthly_return_pct,losing_months,min_monthly_orders,worst_month_drawdown_pct,avg_monthly_orders
2C,17,2.427555182449113,1033.1145604859807,359.09529443752473,146.8146753440921,5.575755909827906,0,11,-29.40311707059141,12.705882352941176
3,17,2.4097362724075704,1013.1025199460261,352.4929187681595,145.99335675269165,5.11302387708088,0,11,-29.40311707059141,14.235294117647058
4,17,2.2290846609274184,829.1357443428852,290.6896967934812,137.81936200739545,4.558896263438661,0,10,-28.78913036963924,12.705882352941176
