month,log_return,turnover,max_drawdown_pct,return_pct
2025-06,0.0,0.0,0.0,0.0
2025-07,-0.0426445864091447,66.0,-14.53539090640026,-4.17480946978176
2025-08,-0.10240270499609865,98.0,-23.353435708860992,-9.733402963028858
2025-09,-0.030576255286431347,74.0,-21.432441193353913,-3.011352972333925
2025-10,0.2242091189405765,116.0,-20.22243023578618,25.13326694315634
2025-11,-0.0363691478568931,100.0,-17.75254724543923,-3.5715735696141726
2025-12,0.22779126703543867,90.0,-20.986311230835998,25.582316638019464
2026-01,0.08450778456777581,86.0,-14.72844003719187,8.818131522023332
2026-02,-0.20425414233099962,84.0,-33.45144675892795,-18.474484598812
2026-03,0.03793458175390479,86.0,-35.24341733212689,3.866328312567946
2026-04,-0.030415416315376465,46.0,-35.3585083313185,-2.9957521635666007
2026-05,0.2043380676031413,96.0,-33.88799611298106,22.67127952182104
2026-06,-0.00018477273393821482,106.0,-24.937394933034863,-0.018475566450792957
