month,log_return,turnover,max_drawdown_pct,return_pct
2025-06,0.0,0.0,0.0,0.0
2025-07,-0.08103682386856174,62.0,-17.239747769875336,-7.784026666943578
2025-08,-0.11831207473981765,106.0,-30.91766796000327,-11.158124370394063
2025-09,0.04450796871947399,66.0,-25.804106059969133,4.55133080795187
2025-10,-0.20839439155038958,104.0,-39.06919803191177,-18.81132277215626
2025-11,0.023085908407318778,100.0,-41.65415892393468,2.3354450521984482
2025-12,0.05632012280959542,94.0,-37.92079991587607,5.793629907490572
2026-01,0.14160481002295336,78.0,-39.39664794346493,15.212125178776748
2026-02,0.39194788164033323,80.0,-25.604295865018635,47.98605814863208
2026-03,0.006407493435879485,74.0,-23.052323723932822,0.6428065336580024
2026-04,-0.15751913995402123,42.0,-36.991596979262006,-14.573953705397846
2026-05,0.06931737864501135,100.0,-40.48268788691875,7.177631408878948
2026-06,0.10196427132480931,82.0,-29.347649302600253,10.734390709036079
