month,event_index,event_timestamp,action,btc_target,hype_target,hold_bars,leverage,trained_rows,trained_actions
2025-10,11814,2025-10-02 01:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,12140,2025-10-05 11:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,82,4
2025-10,12287,2025-10-06 23:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,82,4
2025-10,12364,2025-10-07 19:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,12547,2025-10-09 16:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,12639,2025-10-10 15:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,12704,2025-10-11 08:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,12770,2025-10-12 00:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,12835,2025-10-12 16:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,82,4
2025-10,12900,2025-10-13 09:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,12973,2025-10-14 03:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,82,4
2025-10,13088,2025-10-15 08:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,13201,2025-10-16 12:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,82,4
2025-10,13275,2025-10-17 06:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,13378,2025-10-18 08:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,13493,2025-10-19 13:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,13559,2025-10-20 05:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,13650,2025-10-21 04:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,13717,2025-10-21 21:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,82,4
2025-10,13827,2025-10-23 00:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,13894,2025-10-23 17:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,14089,2025-10-25 18:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,14154,2025-10-26 10:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,82,4
2025-10,14225,2025-10-27 04:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,82,4
2025-10,14297,2025-10-27 22:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-10,14450,2025-10-29 12:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,82,4
2025-10,14529,2025-10-30 08:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,14596,2025-10-31 01:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,14667,2025-10-31 18:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
2025-11,14895,2025-11-03 03:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,108,4
2025-11,14998,2025-11-04 05:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,108,4
2025-11,15065,2025-11-04 22:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,15140,2025-11-05 17:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,15230,2025-11-06 15:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,108,4
2025-11,15295,2025-11-07 07:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,108,4
2025-11,15366,2025-11-08 01:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,108,4
2025-11,15531,2025-11-09 18:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,15674,2025-11-11 06:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,108,4
2025-11,15807,2025-11-12 15:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,108,4
2025-11,15913,2025-11-13 18:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,108,4
2025-11,16001,2025-11-14 16:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,16287,2025-11-17 15:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,108,4
2025-11,16377,2025-11-18 14:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,16578,2025-11-20 16:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,108,4
2025-11,16643,2025-11-21 08:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,108,4
2025-11,16708,2025-11-22 01:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,16773,2025-11-22 17:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,16865,2025-11-23 16:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,108,4
2025-11,16974,2025-11-24 19:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,108,4
2025-11,17047,2025-11-25 13:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,108,4
2025-11,17136,2025-11-26 12:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,108,4
2025-11,17325,2025-11-28 11:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,108,4
2025-11,17440,2025-11-29 16:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,108,4
2025-11,17564,2025-11-30 23:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,108,4
2025-12,17568,2025-12-01 00:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,17633,2025-12-01 16:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,134,4
2025-12,17720,2025-12-02 14:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,134,4
2025-12,17937,2025-12-04 20:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,18009,2025-12-05 14:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,18180,2025-12-07 09:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,134,4
2025-12,18246,2025-12-08 01:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,134,4
2025-12,18354,2025-12-09 04:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,134,4
2025-12,18431,2025-12-09 23:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,18597,2025-12-11 17:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,134,4
2025-12,18708,2025-12-12 21:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,18773,2025-12-13 13:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,134,4
2025-12,18973,2025-12-15 15:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,134,4
2025-12,19038,2025-12-16 07:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,134,4
2025-12,19169,2025-12-17 16:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,19234,2025-12-18 08:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,134,4
2025-12,19301,2025-12-19 01:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,134,4
2025-12,19374,2025-12-19 19:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,19485,2025-12-20 23:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,134,4
2025-12,20063,2025-12-26 23:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,134,4
2025-12,20260,2025-12-29 01:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,134,4
2025-12,20377,2025-12-30 06:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,134,4
2026-01,20606,2026-01-01 15:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,152,4
2026-01,20895,2026-01-04 15:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,152,4
2026-01,21119,2026-01-06 23:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,152,4
2026-01,21418,2026-01-10 02:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,152,4
2026-01,21644,2026-01-12 11:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,152,4
2026-01,21798,2026-01-14 01:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,152,4
2026-01,21903,2026-01-15 03:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,152,4
2026-01,22255,2026-01-18 19:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,152,4
2026-01,22328,2026-01-19 14:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,152,4
2026-01,22419,2026-01-20 12:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,152,4
2026-01,22500,2026-01-21 09:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,152,4
2026-01,22693,2026-01-23 09:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,152,4
2026-01,22787,2026-01-24 08:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,152,4
2026-01,22925,2026-01-25 19:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,152,4
2026-01,23009,2026-01-26 16:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,152,4
2026-01,23074,2026-01-27 08:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,152,4
2026-01,23139,2026-01-28 00:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,152,4
2026-01,23204,2026-01-28 17:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,152,4
2026-01,23280,2026-01-29 12:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,152,4
2026-01,23352,2026-01-30 06:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,152,4
2026-01,23417,2026-01-30 22:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,152,4
2026-01,23482,2026-01-31 14:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,152,4
2026-02,23520,2026-02-01 00:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-02,23585,2026-02-01 16:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,175,4
2026-02,23673,2026-02-02 14:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,175,4
2026-02,23738,2026-02-03 06:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,175,4
2026-02,23808,2026-02-04 00:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,175,4
2026-02,23873,2026-02-04 16:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,175,4
2026-02,23952,2026-02-05 12:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,175,4
2026-02,24017,2026-02-06 04:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,175,4
2026-02,24083,2026-02-06 20:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-02,24162,2026-02-07 16:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-02,24269,2026-02-08 19:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-02,24587,2026-02-12 02:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,175,4
2026-02,24653,2026-02-12 19:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,175,4
2026-02,24733,2026-02-13 15:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,175,4
2026-02,25055,2026-02-16 23:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-02,25419,2026-02-20 18:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-02,25639,2026-02-23 01:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,175,4
2026-02,25704,2026-02-23 18:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,175,4
2026-02,25881,2026-02-25 14:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-02,26032,2026-02-27 04:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,175,4
2026-02,26139,2026-02-28 06:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,175,4
2026-02,26204,2026-02-28 23:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,175,4
2026-03,26208,2026-03-01 00:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,192,4
2026-03,26273,2026-03-01 16:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,192,4
2026-03,26362,2026-03-02 14:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,192,4
2026-03,26436,2026-03-03 09:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,192,4
2026-03,26531,2026-03-04 08:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,192,4
2026-03,26667,2026-03-05 18:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,192,4
2026-03,26768,2026-03-06 20:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,192,4
