selector_id,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct
all_families,2023-01,0.10923755583727458,0.017,17.0,9,99.96639784946237,-11.382472399811483,11.542729513562545
all_families,2023-02,-0.03840383218115172,0.02,20.0,10,100.0,-20.818824253125356,-3.7675755086288953
all_families,2023-03,0.24831809227640722,0.008,8.0,4,100.0,-17.128404662578856,28.18676195386376
all_families,2023-04,0.13510549270186467,0.006,6.0,3,100.0,-18.82219857800582,14.465753099791211
all_families,2023-05,-0.23745968661896752,0.026000000000000002,26.0,13,100.0,-25.500166949695956,-21.13713173711661
all_families,2023-06,0.05239178564969094,0.01,10.0,5,100.0,-28.83805830372994,5.378852086805197
all_families,2023-07,-0.20531185459515064,0.02,20.0,10,100.0,-34.75670968259258,-18.560669548818776
all_families,2023-08,-0.05357251714236864,0.022,22.0,11,100.0,-42.20250561100245,-5.2162795933939465
all_families,2023-09,-0.09211698865568672,0.014,14.0,7,100.0,-45.099040713948156,-8.80015501687501
all_families,2023-10,0.18891885233637407,0.008,8.0,4,100.0,-44.75917419608968,20.79429267593764
all_families,2023-11,-0.03890557923251858,0.008,8.0,4,100.0,-36.00272647348525,-3.8158477326275864
all_families,2023-12,0.13917733158070233,0.01,10.0,5,100.0,-34.477480647667925,14.932789406570945
all_families,2024-01,-0.050120671193440096,0.016,16.0,8,100.0,-33.00140042304022,-4.888535456377319
all_families,2024-02,0.1983952640319011,0.014,14.0,7,100.0,-31.309228220119223,21.944430104618263
all_families,2024-03,0.01471426628807482,0.008,8.0,4,100.0,-24.032573123198166,1.4823054026616767
all_families,2024-04,0.05105342206961017,0.014,14.0,7,100.0,-15.046419236576424,5.237911205170942
all_families,2024-05,-0.10106250536400062,0.02,20.0,10,100.0,-18.855153965960582,-9.612346601162812
all_families,2024-06,0.04905399752197438,0.014,14.0,7,100.0,-21.26583110575444,5.0277061567603365
all_families,2024-07,-0.12605056182868754,0.022,22.0,11,100.0,-27.17006840159636,-11.842972814853091
all_families,2024-08,0.09054351739684208,0.016,16.0,8,100.0,-27.72926926346312,9.476914810851312
all_families,2024-09,0.06740057619079076,0.012,12.0,6,100.0,-25.482663582333764,6.9723898285796615
all_families,2024-10,0.02658767393324092,0.016,16.0,8,100.0,-14.30610641161164,2.6944279559089956
