cost_per_side,round_trip_cost,extra_delay_bars,return_2025_pct,return_2026_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,orders,hard_pass
0.001,0.002,0,419.1756764328229,199.47868694231556,0,2.11521764757987,12,-31.281874597645963,224,True
0.0015,0.003,0,513.44004918656,174.35549427015945,0,4.260202261341517,12,-33.91029416307706,226,True
0.002,0.004,0,-47.25682051319083,116.29916846370527,2,-89.03082355960656,11,-92.6779376361904,268,False
0.001,0.002,1,565.5736140288349,191.977167151556,0,0.3858435235377211,12,-37.58622329706316,224,True
0.0015,0.003,1,-54.334718412833574,168.3026406658224,2,-87.78518140577155,11,-92.09826182108583,268,False
