year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,1.6470721301395546,419.1756764328229,12,0,2.11521764757987,12,150,-31.281874597645963
2026,1.0968730669061049,199.47868694231556,6,0,6.928659674662563,12,74,-26.091341813642433
