cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,adverse_shock_cut_events,guard_reason_counts,damage_mode_bars,damage_halted_bars,damage_stop_flat_bars
0.001,0.002,0,True,433.737120815807,260.5918213916581,260.5918213916581,4.488453572042084,0,11,1824.6124053931137,-29.40311707059142,28.130841121495326,880.2,230,1,1,95,0,1,"{'post_lock_flat': 36912, 'main': 12838, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 487, 'weak_new_order_small': 84, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",0,0,0
0.001,0.002,1,True,391.70647265760675,286.10349671406306,286.10349671406306,8.64259808346155,0,11,1798.4958845004012,-33.51202492292508,28.38979750778816,868.4000000000001,232,1,1,96,0,1,"{'post_lock_flat': 36779, 'main': 12971, 'strong_conflict_small_trend': 1038, 'post_lock_runner': 485, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",0,0,0
0.001,0.002,2,True,326.833256552705,271.4063652785698,271.4063652785698,7.809702142855923,0,11,1485.2858839625592,-33.44708586754267,27.986760124610594,880.8,230,1,1,95,0,3,"{'post_lock_flat': 34646, 'main': 12194, 'damage_stop_flat': 2340, 'strong_conflict_small_trend': 1039, 'damage_mode_small': 568, 'post_lock_runner': 483, 'weak_new_order_small': 84, 'shock_cooldown_small': 3, 'adverse_shock_cut': 3}",2912,2340,2340
0.0015,0.003,0,True,395.206379485,199.979986968085,199.979986968085,3.5530941872242483,0,11,1385.5200326442216,-31.421025582351103,28.555295950155763,927.8,232,1,1,96,0,1,"{'post_lock_flat': 36694, 'main': 13055, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 487, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",0,0,0
0.0015,0.003,1,True,405.9139401889324,243.8513640194903,243.8513640194903,6.710061001394352,0,11,1639.5919841043817,-35.41248632108414,28.41121495327103,904.4000000000001,232,1,1,96,0,1,"{'post_lock_flat': 36768, 'main': 12982, 'strong_conflict_small_trend': 1038, 'post_lock_runner': 485, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",0,0,0
0.0015,0.003,2,True,321.37582240371705,232.38201429114778,232.38201429114778,3.7762597926878527,0,11,1300.5774462413578,-35.95988455036684,28.640965732087224,958.6,234,1,1,96,0,3,"{'post_lock_flat': 34310, 'main': 12529, 'damage_stop_flat': 2340, 'strong_conflict_small_trend': 1039, 'damage_mode_small': 568, 'post_lock_runner': 483, 'weak_new_order_small': 85, 'shock_cooldown_small': 3, 'adverse_shock_cut': 3}",2912,2340,2340
0.002,0.004,0,True,319.7180186704497,206.88269018392168,206.88269018392168,5.105353667367951,0,11,1188.0419468825303,-41.084754089150785,28.927180685358255,985.8000000000001,234,1,1,96,0,1,"{'post_lock_flat': 36503, 'main': 13246, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 487, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",0,0,0
0.002,0.004,1,False,45.0419930281077,206.79690823300817,45.0419930281077,-66.74217076029772,1,11,344.98435024977016,-79.01707579255583,29.824766355140188,1126.0,252,1,1,105,0,3,"{'post_lock_flat': 34463, 'main': 13820, 'damage_stop_flat': 1577, 'strong_conflict_small_trend': 1038, 'post_lock_runner': 365, 'weak_new_order_small': 92, 'adverse_shock_cut': 3, 'shock_cooldown_small': 2}",1577,1577,1577
0.002,0.004,2,False,30.18485282978243,64.92281478368298,30.18485282978243,-66.39880311784248,2,12,114.7045237088725,-77.13656158330598,30.463395638629283,1210.0,258,1,1,109,0,7,"{'post_lock_flat': 29908, 'main': 13580, 'damage_stop_flat': 5802, 'strong_conflict_small_trend': 1039, 'damage_mode_small': 568, 'post_lock_runner': 357, 'weak_new_order_small': 94, 'adverse_shock_cut': 7, 'shock_cooldown_small': 5}",6374,5802,5802
