month,phase,log_return,bars,orders,turnover,exposure_pct,return_pct
2025-01,after_10_order_area,-0.1720136447389716,2643,96,760.1,99.09194097616346,-15.803231533915852
2025-01,first_10_order_area,0.06595205854894742,333,11,50.1,99.69969969969969,6.817550605469647
2025-02,after_10_order_area,-1.3061802926427275,2169,77,623.9,97.23374827109267,-72.91473390927436
2025-02,first_10_order_area,0.0854632142125533,519,10,12.1,100.0,8.922149273677826
2025-03,after_10_order_area,-0.2077479948437265,2617,86,695.5,99.08291937332824,-18.758825713442818
2025-03,first_10_order_area,0.19671817400667438,359,11,65.5,99.72144846796658,21.740089713767972
2025-04,after_10_order_area,-0.20075280163252088,2493,98,791.9,93.46169273967108,-18.188535683615935
2025-04,first_10_order_area,-0.04761025450476103,387,10,24.1,100.0,-4.649466092196574
2025-05,after_10_order_area,-1.1006645607290808,1783,36,294.0,99.83174425126192,-66.73500558635199
2025-05,first_10_order_area,0.16162580988910094,1193,10,38.0,100.0,17.542032835757126
2025-06,after_10_order_area,-0.17805754744664407,2429,44,359.9,99.71181556195965,-16.310573902486368
2025-06,first_10_order_area,-0.09195498783655119,451,10,24.1,100.0,-8.785379370481616
2025-07,after_10_order_area,-0.4274222080285606,2261,38,311.9,98.4077841662981,-34.78118649764246
2025-07,first_10_order_area,0.04701622473017496,715,10,24.1,100.0,4.813901471439896
2025-08,after_10_order_area,0.2570649324501946,2166,28,231.9,99.95383194829178,29.312909007358854
2025-08,first_10_order_area,0.09716049735987921,810,10,24.1,100.0,10.203723349432403
2025-09,after_10_order_area,-0.14761029463333575,2049,20,167.9,100.0,-13.723272552675114
2025-09,first_10_order_area,0.0363190781585315,831,10,24.1,100.0,3.698667350648366
2025-10,after_10_order_area,-0.3057267582736646,2266,64,518.0,88.57016769638129,-26.34121415005497
2025-10,first_10_order_area,0.11011072297763219,710,10,41.5,100.0,11.640167493349951
2025-11,after_10_order_area,-2.725902883167162,2259,98,790.0,90.96945551128817,-93.45129511365529
2025-11,first_10_order_area,0.20289151065317057,621,10,26.0,100.0,22.493956814485337
2025-12,after_10_order_area,-2.534271006493825,2342,70,552.1,99.18872758326216,-92.0680478390429
2025-12,first_10_order_area,0.17725639992711228,634,10,55.7,100.0,19.393717929097388
2026-01,after_10_order_area,0.43084369482975515,2214,54,408.3,99.45799457994579,53.85550470528704
2026-01,first_10_order_area,0.10581997380594832,762,10,60.1,100.0,11.162173746131575
2026-02,after_10_order_area,0.15562643799441447,1198,44,344.1,99.1652754590985,16.838965557312147
2026-02,first_10_order_area,0.15291035050743473,1490,10,261.90000000000003,100.0,16.52205128324389
2026-03,after_10_order_area,-0.7758325207280095,2560,82,662.0,99.2578125,-53.967960483771684
2026-03,first_10_order_area,0.19269640364903354,416,10,26.0,100.0,21.251462261935593
2026-04,after_10_order_area,-1.2272492849644054,2146,48,374.2,96.78471575023299,-70.69023019101715
2026-04,first_10_order_area,0.1574952293343166,734,10,26.0,100.0,17.057517354556275
2026-05,after_10_order_area,-0.0346933533725817,1887,28,231.9,99.89401165871755,-3.40984386945018
2026-05,first_10_order_area,0.14234636226404507,1089,10,24.1,100.0,15.297592673793691
2026-06,after_10_order_area,0.1796704103519608,507,8,71.9,99.60552268244575,19.682283769179264
2026-06,first_10_order_area,0.40170218853522766,1317,10,46.6,100.0,49.43662270055758
