year,phase,log_return,bars,orders,turnover,exposure_pct,return_pct
2025,after_10_order_area,-9.049285060180026,27477,755,6097.1,97.08847399643338,-99.98825250055454
2025,first_10_order_area,1.0409484481224645,7563,122,409.4,99.97355546740711,183.19016528357827
2026,after_10_order_area,-1.2716346158888663,10512,264,2092.4,98.91552511415526,-71.96270550703122
2026,first_10_order_area,1.152970508096006,5808,60,444.7,100.0,216.75882949220235
