month,full_log_return,full_orders,full_turnover,full_return_pct,after_10_order_area_log_return,first_10_order_area_log_return,after_10_order_area_return_pct,first_10_order_area_return_pct,after_10_order_area_orders,first_10_order_area_orders,after_10_order_area_turnover,first_10_order_area_turnover,year
2025-01,-0.10606158619002412,107,810.2,-10.063074235570435,-0.1720136447389716,0.06595205854894742,-15.803231533915852,6.817550605469647,96.0,11.0,760.1,50.1,2025
2025-02,-1.2207170784301742,87,636.0,-70.49814603748699,-1.3061802926427275,0.0854632142125533,-72.91473390927436,8.922149273677826,77.0,10.0,623.9,12.1,2025
2025-03,-0.011029820837052147,97,761.0,-1.096921539026685,-0.2077479948437265,0.19671817400667438,-18.758825713442818,21.740089713767972,86.0,11.0,695.5,65.5,2025
2025-04,-0.24836305613728196,108,816.0,-21.992331976535727,-0.20075280163252088,-0.04761025450476103,-18.188535683615935,-4.649466092196574,98.0,10.0,791.9,24.1,2025
2025-05,-0.9390387508399799,46,332.0,-60.89964934349709,-1.1006645607290808,0.16162580988910094,-66.73500558635199,17.542032835757126,36.0,10.0,294.0,38.0,2025
2025-06,-0.27001253528319524,54,384.0,-23.66300747813178,-0.17805754744664407,-0.09195498783655119,-16.310573902486368,-8.785379370481616,44.0,10.0,359.9,24.1,2025
2025-07,-0.38040598329838565,48,336.0,-31.641617074796823,-0.4274222080285606,0.04701622473017496,-34.78118649764246,4.813901471439896,38.0,10.0,311.9,24.1,2025
2025-08,0.3542254298100739,38,256.0,42.50764049757303,0.2570649324501946,0.09716049735987921,29.312909007358854,10.203723349432403,28.0,10.0,231.9,24.1,2025
2025-09,-0.11129121647480425,30,192.0,-10.532183403373029,-0.14761029463333575,0.0363190781585315,-13.723272552675114,3.698667350648366,20.0,10.0,167.9,24.1,2025
2025-10,-0.19561603529603247,74,559.5,-17.767208103553422,-0.3057267582736646,0.11011072297763219,-26.34121415005497,11.640167493349951,64.0,10.0,518.0,41.5,2025
2025-11,-2.5230113725139915,108,816.0,-91.97823226461281,-2.725902883167162,0.20289151065317057,-93.45129511365529,22.493956814485337,98.0,10.0,790.0,26.0,2025
2025-12,-2.357014606566713,80,607.8,-90.52974741067594,-2.534271006493825,0.17725639992711228,-92.0680478390429,19.393717929097388,70.0,10.0,552.1,55.7,2025
2026-01,0.5366636686357035,64,468.4,71.02912345847882,0.43084369482975515,0.10581997380594832,53.85550470528704,11.162173746131575,54.0,10.0,408.3,60.1,2026
2026-02,0.30853678850184924,54,606.0,36.14315936550294,0.15562643799441447,0.15291035050743473,16.838965557312147,16.52205128324389,44.0,10.0,344.1,261.90000000000003,2026
2026-03,-0.583136117078976,92,688.0,-44.18547897758114,-0.7758325207280095,0.19269640364903354,-53.967960483771684,21.251462261935593,82.0,10.0,662.0,26.0,2026
2026-04,-1.0697540556300889,58,400.2,-65.69071111926938,-1.2272492849644054,0.1574952293343166,-70.69023019101715,17.057517354556275,48.0,10.0,374.2,26.0,2026
2026-05,0.10765300889146337,38,256.0,11.366124778382702,-0.0346933533725817,0.14234636226404507,-3.40984386945018,15.297592673793691,28.0,10.0,231.9,24.1,2026
2026-06,0.5813725988871884,18,118.5,78.84916283555907,0.1796704103519608,0.40170218853522766,19.682283769179264,49.43662270055758,8.0,10.0,71.9,46.6,2026
