candidate_id,family,rule,leverage,lookback,threshold_bps,hard_pass_target_years_relaxed,hard_pass_complete_years_relaxed,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,max_drawdown_pct,orders,turnover,selected_month_count,selected_candidate_count,symbol
single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,1536,100,False,False,20.512453474211647,-21.17118110015185,-46.85449828776223,-5.635796641849334,-46.85449828776223,-83.03789796441599,1157,1160.0,41,1,BTCUSDT
pair_long_weak_short_strong_lev4p0_lookback16_threshold_bps400,pair,long_weak_short_strong,4.0,16,400,False,False,0.0,0.0,-11.75777630395748,-74.52512102669324,-74.52512102669324,-83.11771342270156,1480,2968.0,41,1,
pair_long_strong_short_weak_lev1p0_lookback384_threshold_bps0,pair,long_strong_short_weak,1.0,384,0,False,False,0.0,0.0,-72.15293751151603,-24.536828584757366,-72.15293751151603,-83.23679576250495,1584,1561.0,41,1,
single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback192_threshold_bps200,single_symbol,symbol_reversal,1.0,192,200,False,False,0.0,0.0,-36.93913693101896,-67.313173081927,-67.313173081927,-83.26090732907049,2138,2139.0,41,1,HYPEUSDT
single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps400,single_symbol,symbol_momentum,1.0,1536,400,False,False,-5.862249888607374,-12.434866281659207,-32.181434455314076,-21.539779881057918,-32.181434455314076,-83.526092091279,1028,1028.0,41,1,BTCUSDT
pair_long_strong_short_weak_lev2p0_lookback768_threshold_bps200,pair,long_strong_short_weak,2.0,768,200,False,False,0.0,0.0,-63.287510946741385,2.0712420838892687,-63.287510946741385,-83.52774553544104,1752,1758.0,41,1,
single_symbol_symbol_reversal_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps400,single_symbol,symbol_reversal,2.0,1536,400,False,False,0.0,0.0,189.41009870840327,-71.01729522925346,-71.01729522925346,-83.69675656454977,369,738.0,41,1,HYPEUSDT
single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,1.0,384,100,False,False,0.0,0.0,-49.517095106359335,-57.49988037364153,-57.49988037364153,-83.97533514903107,1428,1439.0,41,1,HYPEUSDT
single_symbol_symbol_reversal_lev2p0_symbolBTCUSDT_lookback16_threshold_bps400,single_symbol,symbol_reversal,2.0,16,400,False,False,-8.197980579882302,-1.401577893242767,-14.734293411869848,3.99414211796989,-14.734293411869848,-83.9906721148908,432,864.0,41,1,BTCUSDT
single_symbol_symbol_reversal_lev4p0_symbolHYPEUSDT_lookback16_threshold_bps400,single_symbol,symbol_reversal,4.0,16,400,False,False,0.0,0.0,79.60150196581101,-62.77385716439397,-62.77385716439397,-84.19093892764752,1206,4832.0,41,1,HYPEUSDT
pair_long_strong_short_weak_lev1p0_lookback384_threshold_bps20,pair,long_strong_short_weak,1.0,384,20,False,False,0.0,0.0,-72.98906782695174,-28.11842830917334,-72.98906782695174,-84.69947417678398,2560,1583.0,41,1,
single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps200,single_symbol,symbol_momentum,1.0,1536,200,False,False,16.292433155229034,-29.795114896184995,-44.11320651949943,-15.923670433699987,-44.11320651949943,-84.75688759395527,1170,1170.0,41,1,BTCUSDT
pair_long_strong_short_weak_lev1p0_lookback384_threshold_bps100,pair,long_strong_short_weak,1.0,384,100,False,False,0.0,0.0,-74.6769190550264,-23.592099924921193,-74.6769190550264,-85.02004353562009,3180,1595.0,41,1,
pair_long_weak_short_strong_lev1p0_lookback192_threshold_bps200,pair,long_weak_short_strong,1.0,192,200,False,False,0.0,0.0,-61.70592389643442,-60.620826866981204,-61.70592389643442,-85.09937858497817,4236,2119.0,41,1,
single_symbol_symbol_reversal_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps200,single_symbol,symbol_reversal,2.0,1536,200,False,False,0.0,0.0,114.65623722566195,-73.67668225556454,-73.67668225556454,-85.21452195296344,325,650.0,41,1,HYPEUSDT
