month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
2025-01,0.05168752649842343,0.9999000049998333,1.0530466419269098,-0.16125220693771303,50.0,10,5.304664192690978,-16.125220693771304
2025-02,0.10319923955717543,1.052941342527775,1.1675257500740075,-0.08543925391330887,20.1,11,10.871228641650532,-8.543925391330887
2025-03,0.21898834968860303,1.1670910319240029,1.45335563788581,-0.18082376084176088,50.1,11,24.481677410000113,-18.08237608417609
2025-04,0.07319719184405143,1.4532103095885573,1.5637273645530472,-0.28715648663214466,80.8,24,7.594268311904329,-28.715648663214466
2025-05,0.1794011113139396,1.563570999634968,1.87100069528289,-0.15334094576983937,44.2,12,19.650057784700103,-15.334094576983937
2025-06,0.06979363448513003,1.8708136045680532,2.006249489391654,-0.1422435361035177,48.0,12,7.22868753869248,-14.22435361035177
2025-07,0.044580327260670585,2.0060488744736276,2.097712322398787,-0.08465845888048906,32.2,12,4.558896263438661,-8.465845888048907
2025-08,0.08174340843080528,2.0975025616547587,2.276389850310718,-0.10655659507889026,32.0,10,8.517732674974642,-10.655659507889027
2025-09,0.07354522907264392,2.276162222707257,2.450117587128971,-0.10265955397175996,32.0,10,7.631721640058253,-10.265955397175997
2025-10,0.10194875945113795,2.4498725876204372,2.7130806964707683,-0.1403638006113812,48.7,22,10.7326730244786,-14.036380061138122
2025-11,0.22250484920694272,2.7128094019660725,3.389185499228168,-0.10666984633442433,32.2,12,24.920187727438183,-10.666984633442434
2025-12,0.14215381777025782,3.389185499228168,3.9068969679348147,-0.10881615738731598,32.0,10,15.275394894276118,-10.881615738731599
2026-01,0.09995078029510927,3.906506297771855,4.317576393813612,-0.2301609580269398,68.1,11,10.511652322786635,-23.016095802693982
2026-02,0.2659035832305264,4.2803554442032405,5.6327501718104775,-0.23932143811447515,60.1,11,30.460926641189022,-23.932143811447514
2026-03,0.1835607718632437,5.632186924956108,6.767681624963563,-0.2878913036963924,32.0,10,20.148797985625876,-28.78913036963924
2026-04,0.1695055896845083,6.767004890638347,8.017800798735164,-0.13117512857822256,32.8,18,18.471896921988183,-13.117512857822256
2026-05,0.14742049127424972,8.016999058742957,9.291357443428861,-0.08860751618335361,32.0,10,15.884114318412546,-8.86075161833536
2026-06,0.42335073735817047,9.290428354139754,14.188551375890917,-0.22366307330293422,54.5,10,52.70698024781606,-22.366307330293424
