year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,1.3627434445797812,290.6896967934816,12,0,4.558896263438661,10,156,-28.715648663214466
2026,1.2896919537058078,263.1667661661156,6,0,10.511652322786635,10,70,-28.78913036963924
