cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,adverse_shock_cut_events,guard_reason_counts,strong_trend_flat_bars,post_lock_runner_bars,entry_confirm_wait_bars,entry_events,adverse_entry_events,adverse_entry_rate_pct
0.001,0.002,0,True,290.6896967934816,263.1667661661156,263.1667661661156,4.558896263438661,0,10,1318.8551375890918,-28.78913036963924,29.345794392523366,781.8,226,1,1,147,0,0,"{'post_lock_flat': 36054, 'main': 12399, 'post_lock_runner': 1560, 'strong_conflict_small_trend': 1037, 'entry_confirm_wait': 234, 'weak_new_order_small': 76}",152,1560,234,203,16,7.8817733990147785
0.001,0.002,1,True,299.60760379318083,276.5423281186815,276.5423281186815,4.27157133268552,0,10,1404.6917746621232,-32.073843367093424,29.39057632398754,794.0,228,1,1,149,0,0,"{'post_lock_flat': 36032, 'main': 12422, 'post_lock_runner': 1558, 'strong_conflict_small_trend': 1038, 'entry_confirm_wait': 233, 'weak_new_order_small': 77}",152,1558,233,204,16,7.8431372549019605
0.001,0.002,2,True,378.097528098871,273.3059898124417,273.3059898124417,3.9785548258994607,0,10,1684.7667095383176,-32.35387106439775,29.39057632398754,769.8,226,1,1,147,0,0,"{'post_lock_flat': 36034, 'main': 12424, 'post_lock_runner': 1556, 'strong_conflict_small_trend': 1039, 'entry_confirm_wait': 231, 'weak_new_order_small': 76}",152,1556,231,203,17,8.374384236453201
0.0015,0.003,0,True,285.13322273895835,221.25994621826354,221.25994621826354,1.0038793802501278,0,10,1137.2787842398375,-30.753207452624487,29.410046728971963,797.8,228,1,1,149,0,0,"{'post_lock_flat': 36019, 'main': 12431, 'post_lock_runner': 1560, 'strong_conflict_small_trend': 1037, 'entry_confirm_wait': 236, 'weak_new_order_small': 77}",152,1560,236,205,16,7.804878048780488
0.0015,0.003,1,True,224.1717494583209,226.73801848308756,224.1717494583209,2.464606207111175,0,10,959.1923506620734,-34.01541307885706,29.413940809968846,794.0,228,1,1,149,0,0,"{'post_lock_flat': 36020, 'main': 12434, 'post_lock_runner': 1558, 'strong_conflict_small_trend': 1038, 'entry_confirm_wait': 233, 'weak_new_order_small': 77}",152,1558,233,204,16,7.8431372549019605
0.0015,0.003,2,True,279.0126762813233,240.0373708047753,240.0373708047753,1.032345034823301,0,10,1188.7847394438222,-34.287436594525175,29.448987538940806,809.8,228,1,1,149,0,0,"{'post_lock_flat': 36002, 'main': 12453, 'post_lock_runner': 1556, 'strong_conflict_small_trend': 1039, 'entry_confirm_wait': 233, 'weak_new_order_small': 77}",152,1556,233,205,17,8.292682926829269
0.002,0.004,0,True,251.55663806483867,168.73752129449792,168.73752129449792,1.4273968263418757,0,10,844.7645950817171,-32.73252560797606,29.890965732087228,829.8,232,1,1,153,0,0,"{'post_lock_flat': 35768, 'main': 12676, 'post_lock_runner': 1560, 'strong_conflict_small_trend': 1037, 'entry_confirm_wait': 240, 'weak_new_order_small': 79}",152,1560,240,209,16,7.655502392344498
0.002,0.004,1,True,226.17205311280318,178.6352203681224,178.6352203681224,2.2023172895212495,0,10,808.8302189700897,-40.626925376418384,30.18302180685358,934.4000000000001,234,1,1,153,0,3,"{'post_lock_flat': 35617, 'main': 12821, 'post_lock_runner': 1558, 'strong_conflict_small_trend': 1038, 'entry_confirm_wait': 241, 'weak_new_order_small': 79, 'adverse_shock_cut': 3, 'shock_cooldown_small': 3}",152,1558,241,212,18,8.49056603773585
0.002,0.004,2,True,201.7722403452273,183.8421551205976,183.8421551205976,1.4559818397099855,0,10,756.5568305516042,-38.746942281262875,30.202492211838006,907.4,234,1,1,153,0,2,"{'post_lock_flat': 35607, 'main': 12834, 'post_lock_runner': 1556, 'strong_conflict_small_trend': 1039, 'entry_confirm_wait': 241, 'weak_new_order_small': 79, 'adverse_shock_cut': 2, 'shock_cooldown_small': 2}",152,1556,241,212,18,8.49056603773585
