candidate_id,family,rule,leverage,window,min_volume_ratio,min_body_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,buy_ratio,lookback,move_bps
volume_spike_volume_spike_body_reversal_lev1p0_window1536_min_volume_ratio3p0_min_body_bps10,volume_spike,volume_spike_body_reversal,1.0,1536.0,3.0,10.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99201170832566,-95.28275072772081,-93.03035737542977,-92.64701756276253,-66.9561190230402,-95.28275072772081,41,-37.35726234788059,147,8021,9072.0,9.072000000000001,-99.99999749758688,1,,,
volume_confirmed_move_volume_confirmed_momentum_lev1p0_lookback64_min_volume_ratio1p5_move_bps50,volume_confirmed_move,volume_confirmed_momentum,1.0,,1.5,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.9997685487643,-96.91279863013904,-98.29714979255199,-98.04047658062903,-77.53183313547224,-98.29714979255199,41,-37.6274352540097,223,13736,13774.0,13.774,-99.99999999936644,1,,64.0,50.0
volume_spike_volume_spike_body_reversal_lev1p0_window1536_min_volume_ratio3p0_min_body_bps0,volume_spike,volume_spike_body_reversal,1.0,1536.0,3.0,0.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99682233719467,-96.59269504983165,-94.55284165715241,-94.22866043944538,-70.3346019963995,-96.59269504983165,41,-37.763993776063586,150,8518,9864.0,9.863999999999999,-99.99999929316085,1,,,
taker_imbalance_taker_imbalance_reversal_lev2p0_window1536_min_volume_ratio1p0_buy_ratio0p65,taker_imbalance,taker_imbalance_reversal,2.0,1536.0,1.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.40255951568427,-42.72398416212086,-67.36004019979863,-92.13970452422045,-59.34318432991874,-92.13970452422045,41,-38.065690839745116,2,2673,5376.0,5.376,-99.93529274692354,1,0.65,,
volume_confirmed_move_volume_confirmed_reversal_lev1p0_lookback64_min_volume_ratio2p0_move_bps100,volume_confirmed_move,volume_confirmed_reversal,1.0,,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99031914599277,-93.3792208414419,-94.57806216181456,-90.21197734086984,-72.44787699406938,-94.57806216181456,41,-38.16352770462241,72,8279,8284.0,8.284,-99.99999671628132,1,,64.0,100.0
volume_confirmed_move_volume_confirmed_momentum_lev1p0_lookback4_min_volume_ratio2p0_move_bps20,volume_confirmed_move,volume_confirmed_momentum,1.0,,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.9994406059655,-96.15935681489536,-97.258918082731,-97.01927759511678,-82.1733259767834,-97.258918082731,41,-38.506876530008185,214,11808,12038.0,12.038000000000002,-99.9999999120929,1,,4.0,20.0
volume_confirmed_move_volume_confirmed_momentum_lev1p0_lookback4_min_volume_ratio2p0_move_bps50,volume_confirmed_move,volume_confirmed_momentum,1.0,,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.98283629005326,-88.92382359373754,-93.13521784753374,-90.6317362919241,-75.9045281322464,-93.13521784753374,41,-38.674148855829316,108,8146,8202.0,8.202000000000002,-99.99998682714711,1,,4.0,50.0
volume_confirmed_move_volume_confirmed_reversal_lev1p0_lookback16_min_volume_ratio1p5_move_bps50,volume_confirmed_move,volume_confirmed_reversal,1.0,,1.5,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99980481494427,-97.04355079025333,-98.43761525308369,-97.84898107130176,-80.3553670796888,-98.43761525308369,41,-39.364853036168654,184,12449,12486.0,12.486000000000002,-99.99999999957284,1,,16.0,50.0
volume_confirmed_move_volume_confirmed_reversal_lev1p0_lookback64_min_volume_ratio1p5_move_bps100,volume_confirmed_move,volume_confirmed_reversal,1.0,,1.5,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99901492718408,-96.15880246710748,-97.13146169181697,-95.37963334985179,-80.65072938340239,-97.13146169181697,41,-39.4285358102483,106,10686,10692.0,10.692,-99.99999999038194,1,,64.0,100.0
taker_imbalance_taker_imbalance_momentum_lev1p0_window1536_min_volume_ratio1p0_buy_ratio0p6,taker_imbalance,taker_imbalance_momentum,1.0,1536.0,1.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99885033976503,-89.23261807201548,-93.84211516039876,-98.91393854719507,-84.03483433493204,-98.91393854719507,41,-40.16851667077951,67,10912,11168.0,11.168,-99.99999867016038,1,0.6,,
