oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2023,0.3782869877967137,0.348,348.0,126,12,4,-0.7241457327150203,2,-99.73720909685842,45.97818223351497
monthly_oracle_best_return,2024,0.43654539314555896,1.4140000000000001,1414.0,387,12,4,-0.9375433791891874,4,-99.99999999999949,54.735248009476955
monthly_oracle_best_return,2025,-0.12800279543484203,0.29500000000000004,295.0,295,12,12,-3.1398792365525785,6,-99.99575914452069,-12.014908042471028
monthly_oracle_best_return,2026,-0.0961598838081966,0.16999999999999998,170.0,170,5,5,-3.4694588855671893,18,-99.99093916911382,-9.168122100695475
monthly_oracle_best_return_order10,2023,0.3295609417237426,1.078,1078.0,435,12,8,-0.7241457327150203,10,-99.99999999999993,39.03575464453208
monthly_oracle_best_return_order10,2024,0.41200767055788423,1.496,1496.0,445,12,4,-1.1576787668559518,12,-99.99999999999949,50.98460176456019
monthly_oracle_best_return_order10,2025,-0.13621003594717945,0.317,317.0,317,12,12,-3.1398792365525785,14,-99.99575914452069,-12.734067658891224
monthly_oracle_best_return_order10,2026,-0.0961598838081966,0.16999999999999998,170.0,170,5,5,-3.4694588855671893,18,-99.99093916911382,-9.168122100695475
volume_spike_oracle_order10,2023,-1.6813320334821196,2.442,2442.0,2221,12,12,-19.659127878380467,147,-99.99852227398057,-81.38741150673572
volume_spike_oracle_order10,2024,-1.7831000713062972,2.6510000000000002,2651.0,2343,12,12,-18.307219574311052,165,-99.99989759153098,-83.18838335060492
volume_spike_oracle_order10,2025,-1.8660310079269218,2.357,2357.0,2118,12,12,-18.58523147965836,156,-99.99999238188273,-84.5263407038039
volume_spike_oracle_order10,2026,-0.9587778883381707,1.1540000000000001,1154.0,1043,5,5,-23.55682571232649,174,-99.99999871365259,-61.663889011103024
taker_imbalance_oracle_order10,2023,0.2915916276013507,0.372,372.0,198,12,9,-0.844507475491374,10,-99.73720909685842,33.85562765725205
taker_imbalance_oracle_order10,2024,0.22127735362986628,0.614,614.0,236,12,5,-1.1576787668559518,10,-99.99975093465873,24.766942822478466
taker_imbalance_oracle_order10,2025,-0.2519286858000045,0.381,381.0,380,12,12,-5.350337980329689,14,-67.85013750354096,-22.269983136788806
taker_imbalance_oracle_order10,2026,-0.11391354108741154,0.16999999999999998,170.0,170,5,5,-3.961885562568457,18,-84.18946631295637,-10.766489713000338
volume_confirmed_move_oracle_order10,2023,-0.2594555263348939,1.588,1588.0,1004,12,10,-5.797918739299213,32,-99.99999999999993,-22.852848260305258
volume_confirmed_move_oracle_order10,2024,-0.4997654881150931,2.3360000000000003,2336.0,1391,12,9,-12.572208470197166,66,-99.99999999999999,-39.3327084959473
volume_confirmed_move_oracle_order10,2025,-0.553114658470315,1.012,1012.0,1010,12,12,-7.91949953164377,26,-99.9968690983282,-42.4844395613433
volume_confirmed_move_oracle_order10,2026,-0.22045812615313348,0.6,600.0,595,5,5,-6.049089230955341,44,-99.99999292170708,-19.78487726839574
