candidate_id,family,hard_pass,yearly_return_gate_pass,monthly_profit_gate_pass,monthly_order_gate_pass,leverage,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,annualized_sharpe,exposure_pct,turnover,orders,segments,win_rate_pct,profit_factor,params_json
zscore_rsi_breakout_no_filter_6f49269e0d_lev10,breakout,False,False,False,True,10.0,-99.9999990444849,-99.89845617108156,-99.9999990444849,-93.93475596539524,18,112,-100.0,-100.0,-5.082041464734238,22.995283018867923,41700.0,4170,2085,46.24937154348919,0.9258286958679742,"{""family"": ""breakout"", ""hold_bars"": 4, ""leverage"": 10.0, ""rsi_high"": 60.0, ""rsi_low"": 40.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 1.5, ""z_window"": 192}"
zscore_rsi_breakout_no_filter_3f84cbb5e7_lev12,breakout,False,False,False,True,12.0,-99.9999999652719,-99.99904413694301,-99.9999999652719,-93.96800276425499,18,106,-100.0,-100.0,-5.644212561191807,31.030336662967073,58164.0,4847,2424,46.18479880774963,0.9213702685362819,"{""family"": ""breakout"", ""hold_bars"": 8, ""leverage"": 12.0, ""rsi_high"": 65.0, ""rsi_low"": 35.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 1.5, ""z_window"": 48}"
zscore_rsi_breakout_no_filter_5b950d5447_lev12,breakout,False,False,False,True,12.0,-99.99999998727267,-99.96862547893336,-99.99999998727267,-94.05492161291065,18,103,-100.0,-100.0,-4.586360748947668,35.26637069922309,52320.0,4360,2180,46.633228429058484,0.943857671181998,"{""family"": ""breakout"", ""hold_bars"": 8, ""leverage"": 12.0, ""rsi_high"": 60.0, ""rsi_low"": 40.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 1.0, ""z_window"": 192}"
zscore_rsi_mean_reversion_ema_gap_50_8784bdd262_lev12,mean_reversion,False,False,False,True,12.0,-99.99996034920976,-94.02039974826675,-99.99996034920976,-94.05698256372649,18,34,-99.99999999360456,-99.99999999674165,-3.608114241554581,16.9811320754717,19548.0,1629,815,49.754901960784316,0.9205137860159027,"{""family"": ""mean_reversion"", ""hold_bars"": 16, ""leverage"": 12.0, ""rsi_high"": 65.0, ""rsi_low"": 35.0, ""trend"": {""adx_min"": null, ""gap_min_bps"": 50.0, ""mode"": ""ema_gap""}, ""z_threshold"": 1.0, ""z_window"": 48}"
zscore_rsi_mean_reversion_no_filter_f9e253497c_lev10,mean_reversion,False,False,False,True,10.0,-99.99999998495564,-99.98784623570619,-99.99999998495564,-94.06502271585046,18,121,-100.0,-100.0,-7.393192849251369,19.131520532741398,48270.0,4827,2414,49.256707759245835,0.8647482116160917,"{""family"": ""mean_reversion"", ""hold_bars"": 4, ""leverage"": 10.0, ""rsi_high"": 65.0, ""rsi_low"": 35.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 2.0, ""z_window"": 48}"
zscore_rsi_mean_reversion_no_filter_3fd60de846_lev10,mean_reversion,False,False,False,True,10.0,-99.99999995413704,-99.99399160331579,-99.99999995413704,-94.08352280843808,18,102,-100.0,-100.0,-5.259926822709116,56.74713281539031,44890.0,4489,2245,50.24651617635074,0.9321086485410887,"{""family"": ""mean_reversion"", ""hold_bars"": 16, ""leverage"": 10.0, ""rsi_high"": 60.0, ""rsi_low"": 40.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 1.0, ""z_window"": 96}"
zscore_rsi_mean_reversion_no_filter_522aeaace4_lev12,mean_reversion,False,False,False,True,12.0,-99.99996546675209,-99.99466723257383,-99.99996546675209,-94.08589388545349,18,90,-100.0,-100.0,-4.991973049850707,23.863531261561228,42168.0,3514,1757,50.25919286856257,0.9149414044096433,"{""family"": ""mean_reversion"", ""hold_bars"": 8, ""leverage"": 12.0, ""rsi_high"": 65.0, ""rsi_low"": 35.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 1.0, ""z_window"": 192}"
zscore_rsi_breakout_no_filter_a87d1f6f00_lev12,breakout,False,False,False,True,12.0,-99.99999897424976,-99.98241365957045,-99.99999897424976,-94.09276220450757,18,94,-100.0,-100.0,-5.706858610846252,14.985664076951535,44760.0,3730,1865,46.11942601450394,0.8904567189115049,"{""family"": ""breakout"", ""hold_bars"": 2, ""leverage"": 12.0, ""rsi_high"": 60.0, ""rsi_low"": 40.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 2.0, ""z_window"": 192}"
zscore_rsi_mean_reversion_no_filter_42d9268072_lev12,mean_reversion,False,False,False,True,12.0,-99.99999746995375,-99.99343016303709,-99.99999746995375,-94.13507245935403,18,95,-100.0,-100.0,-6.269880041105889,16.01923788383278,43380.0,3615,1808,49.72575057736721,0.8662745716339912,"{""family"": ""mean_reversion"", ""hold_bars"": 4, ""leverage"": 12.0, ""rsi_high"": 65.0, ""rsi_low"": 35.0, ""trend"": {""mode"": ""none""}, ""z_threshold"": 2.0, ""z_window"": 96}"
zscore_rsi_mean_reversion_ema_gap_50_954d1c239c_lev10,mean_reversion,False,False,False,True,10.0,-99.99999824510822,-97.90685127235905,-99.99999824510822,-94.14747328861152,18,69,-99.99999999999956,-99.99999999999963,-6.35682879644642,15.517480577136514,34530.0,3453,1727,49.76158545671286,0.8812517273546395,"{""family"": ""mean_reversion"", ""hold_bars"": 4, ""leverage"": 10.0, ""rsi_high"": 60.0, ""rsi_low"": 40.0, ""trend"": {""adx_min"": null, ""gap_min_bps"": 50.0, ""mode"": ""ema_gap""}, ""z_threshold"": 1.0, ""z_window"": 48}"
