month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
2024-01,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0
2024-02,-0.0020946348814922574,1.0,0.9979075573352527,-0.12364907942489467,60.0,30,-0.2092442664747285,-12.364907942489467
2024-03,-0.14849758022789594,0.9979075573352527,0.860198403060064,-0.24607271332293712,114.0,57,-13.799790698340663,-24.607271332293713
2024-04,-0.35957994085908734,0.8569950686320874,0.6003922088124666,-0.5074461240876492,94.0,47,-30.203054704980214,-50.74461240876492
2024-05,-0.04339148507452333,0.6003922088124666,0.5748974275064128,-0.5167569831174443,72.0,36,-4.246354454945478,-51.67569831174443
2024-06,-0.0627375656243027,0.5748974275064128,0.5399378672633081,-0.5474656999824055,76.0,38,-6.0810082930341185,-54.746569998240545
2024-07,0.10275836675495972,0.5399378672633081,0.5983718832864346,-0.5446041184371972,94.0,47,10.822359305766271,-54.460411843719726
2024-08,-0.2230456668073534,0.5964947154138645,0.4787443659918828,-0.5839948746547041,106.0,53,-19.992168856183923,-58.399487465470415
2024-09,-0.012565951872946329,0.4787443659918828,0.47276612712534577,-0.5850780926453074,82.0,41,-1.2487329963979943,-58.50780926453074
2024-10,-0.04380769777644224,0.47449737326896163,0.45250242516806377,-0.6145551452217988,106.0,53,-4.2862000457806415,-61.455514522179875
2024-11,-0.13676275122647166,0.45250242516806377,0.39466226403092847,-0.6581422096551062,92.0,46,-12.782287545896109,-65.81422096551061
2024-12,-0.40734464971438505,0.39466226403092847,0.26261411770387816,-0.7710109771602699,108.0,54,-33.458518424934105,-77.10109771602698
2025-01,-0.16714247314611677,0.26261411770387816,0.22219230564064957,-0.8083765776933172,94.0,47,-15.392094079575703,-80.83765776933171
2025-02,0.023188069250959696,0.22133179277181664,0.2274047155200325,-0.8289787636317285,90.0,45,2.3459002616467606,-82.89787636317286
2025-03,-0.29450107056299263,0.2274047155200325,0.16939448865999415,-0.8527340933210623,68.0,34,-25.509685112456737,-85.27340933210623
2025-04,-0.1049012874233925,0.16939448865999415,0.15252506753087616,-0.8676429298949638,72.0,36,-9.958659967372373,-86.76429298949638
2025-05,-0.08573819956694965,0.15252506753087616,0.1399927674528428,-0.8772485687360657,88.0,44,-8.216551076429713,-87.72485687360657
2025-06,-0.05974067218577733,0.1399927674528428,0.13187441761591281,-0.8852880714418131,68.0,34,-5.799120900774346,-88.52880714418131
2025-07,0.010697934785666007,0.13187441761591281,0.13329277475449178,-0.8858451147944731,74.0,37,1.0755362292551363,-88.58451147944731
2025-08,-0.04891934571786706,0.1343333981518241,0.1269291018091367,-0.8888913677253542,110.0,55,-4.774206971891248,-88.88913677253541
2025-09,-0.17871363095031917,0.12667549729456784,0.10615656643044542,-0.9083362774675994,76.0,38,-16.365463146448334,-90.83362774675993
2025-10,0.027255562602741597,0.10615656643044542,0.10908971409168612,-0.9069646836716742,80.0,40,2.763039310584303,-90.69646836716741
2025-11,-0.015032649163858285,0.10908971409168612,0.1074620712355573,-0.9143001381697035,112.0,56,-1.4920222953029083,-91.43001381697034
2025-12,-0.26669611467109394,0.1074620712355573,0.08230582188077985,-0.9277229995882702,68.0,34,-23.40942163643529,-92.77229995882702
2026-01,0.07310651551699685,0.08230582188077985,0.08854831723051002,-0.9353764070763728,84.0,42,7.584512501158902,-93.53764070763728
2026-02,0.00982179248527978,0.08854831723051002,0.08942230546686421,-0.9258046716684792,96.0,48,0.9870184591741937,-92.58046716684792
2026-03,-0.09685528980150329,0.08942230546686421,0.08116749532327242,-0.9287226230314918,96.0,48,-9.231265175389048,-92.87226230314917
2026-04,-0.03116080162369076,0.08116749532327242,0.07867725159663193,-0.9329008479810939,88.0,44,-3.0680307636981485,-93.29008479810939
2026-05,-0.12383187201401515,0.07867725159663193,0.06951358419301878,-0.9404841942804583,108.0,54,-11.647162575778447,-94.04841942804583
2026-06,-0.21092273821835,0.06951358419301878,0.056294647032184536,-0.9511863969251252,76.0,38,-19.01633661145945,-95.11863969251252
