year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,orders_min,orders_sum,max_drawdown_pct
2024,-1.3370695573099405,-73.73858822961216,12,11,-33.458518424934105,0,502,-77.10109771602698
2025,-1.160243876749,-68.65902617863712,12,9,-25.509685112456737,34,500,-92.77229995882702
2026,-0.3798423936552826,-31.6030801396722,6,4,-19.01633661145945,38,274,-95.11863969251252
