candidate_id,family,rule,leverage,move_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,buy_ratio,first10_bps,last5_bps,min_range_bps,close_pos,efficiency,sum_abs_bps,max_efficiency,last5_volume_share
early_late_reversal_early_late_reversal_lev2p0_first10_bps10_last5_bps5,early_late_reversal,early_late_reversal,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99998947596535,-99.99999999417591,-99.99999890124187,-99.89578884060649,-99.99999999417591,41,-94.44341751010435,346,29402,62468.0,62.468,-100.0,1,,10.0,5.0,,,,,,
late_momentum_late_volume_momentum_lev2p0_last5_volume_share0p35_move_bps5,late_momentum,late_volume_momentum,2.0,5.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999973552,-99.99999999999224,-99.99999999979569,-99.99664594303727,-99.99999999999224,41,-94.85688890293248,790,42458,88648.0,88.64800000000001,-100.0,1,,,,,,,,,0.35
chop_path_chop_reversal_lev2p0_sum_abs_bps50_max_efficiency0p2,chop_path,chop_reversal,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99997970109801,-99.99999999642935,-99.9999980785892,-99.95769692604682,-99.99999999642935,41,-95.2505056936694,273,30329,65540.0,65.54,-100.0,1,,,,,,,50.0,0.2,
early_late_reversal_early_late_reversal_lev4p0_first10_bps20_last5_bps10,early_late_reversal,early_late_reversal,4.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99878296968907,-99.99999879956832,-99.99992560054031,-99.19386021086984,-99.99999879956832,41,-96.2470628775559,74,10810,44792.0,44.792,-100.0,1,,20.0,10.0,,,,,,
late_momentum_late_return_momentum_lev1p0_move_bps5,late_momentum,late_return_momentum,1.0,5.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999926268,-99.99999999999612,-99.99999999980969,-99.99612385360672,-99.99999999999612,41,-96.2882278653904,1304,70149,89824.0,89.82399999999998,-100.0,1,,,,,,,,,
chop_path_chop_reversal_lev4p0_sum_abs_bps100_max_efficiency0p2,chop_path,chop_reversal,4.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.97866756681158,-99.99999841188257,-99.99877715009964,-99.38195116824967,-99.99999841188257,41,-96.32511784205884,28,9807,41888.0,41.888,-100.0,1,,,,,,,100.0,0.2,
late_momentum_late_volume_momentum_lev4p0_last5_volume_share0p45_move_bps5,late_momentum,late_volume_momentum,4.0,5.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.9999999999665,-99.99999999999883,-99.9999999999451,-99.99813022964061,-99.99999999999883,41,-96.64182889494953,465,23129,93816.0,93.816,-100.0,1,,,,,,,,,0.45
late_momentum_late_return_reversal_lev2p0_move_bps10,late_momentum,late_return_reversal,2.0,10.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999929433,-99.99999999999993,-99.99999999995572,-99.99966736299287,-99.99999999999993,41,-97.22083840025239,586,46160,107144.0,107.144,-100.0,1,,,,,,,,,
late_momentum_late_return_reversal_lev4p0_move_bps20,late_momentum,late_return_reversal,4.0,20.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99998866506216,-99.99999999992062,-99.99999976118747,-99.99289788858695,-99.99999999992062,41,-97.37993599724241,143,18028,78128.0,78.12800000000001,-100.0,1,,,,,,,,,
late_momentum_late_taker_momentum_lev2p0_move_bps5_buy_ratio0p6,late_momentum,late_taker_momentum,2.0,5.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.9999999999938,-99.99999999999997,-99.99999999999937,-99.99923247252634,-99.99999999999997,41,-97.58276606093591,956,48869,106508.0,106.508,-100.0,1,0.6,,,,,,,,
