event_index,event_timestamp,month,action,hype_target,btc_target,hold_bars,trained_rows,trained_labels
23871,2026-01-04 15:45:00+00:00,2026-01,pair_rv_reversal,-4.0,2.0,192,99,28
24095,2026-01-06 23:45:00+00:00,2026-01,hype_momentum,4.0,0.0,96,99,28
24394,2026-01-10 02:30:00+00:00,2026-01,hype_reversal,4.0,0.0,96,99,28
24620,2026-01-12 11:00:00+00:00,2026-01,hype_reversal,4.0,0.0,96,99,28
24774,2026-01-14 01:30:00+00:00,2026-01,hype_reversal,-4.0,0.0,192,99,28
25231,2026-01-18 19:45:00+00:00,2026-01,hype_momentum,-4.0,0.0,192,99,28
25424,2026-01-20 20:00:00+00:00,2026-01,hype_reversal,4.0,0.0,192,99,28
25669,2026-01-23 09:15:00+00:00,2026-01,hype_reversal,4.0,0.0,96,99,28
25766,2026-01-24 09:30:00+00:00,2026-01,hype_reversal,-4.0,0.0,192,99,28
25985,2026-01-26 16:15:00+00:00,2026-01,hype_reversal,-4.0,0.0,32,99,28
26018,2026-01-27 00:30:00+00:00,2026-01,hype_momentum,4.0,0.0,96,99,28
26115,2026-01-28 00:45:00+00:00,2026-01,hype_momentum,4.0,0.0,96,99,28
26214,2026-01-29 01:30:00+00:00,2026-01,hype_momentum,4.0,0.0,192,99,28
26410,2026-01-31 02:30:00+00:00,2026-01,pair_rv_reversal,-4.0,2.0,96,99,28
26496,2026-02-01 00:00:00+00:00,2026-02,hype_momentum,4.0,0.0,96,113,29
26593,2026-02-02 00:15:00+00:00,2026-02,hype_momentum,4.0,0.0,192,113,29
26786,2026-02-04 00:30:00+00:00,2026-02,hype_reversal,4.0,0.0,192,113,29
26980,2026-02-06 01:00:00+00:00,2026-02,hype_momentum,4.0,0.0,96,113,29
27078,2026-02-07 01:30:00+00:00,2026-02,hype_reversal,4.0,0.0,192,113,29
27563,2026-02-12 02:45:00+00:00,2026-02,hype_momentum,4.0,0.0,96,113,29
27709,2026-02-13 15:15:00+00:00,2026-02,hype_momentum,4.0,0.0,96,113,29
28031,2026-02-16 23:45:00+00:00,2026-02,hype_reversal,-4.0,0.0,192,113,29
28395,2026-02-20 18:45:00+00:00,2026-02,hype_reversal,-4.0,0.0,192,113,29
28615,2026-02-23 01:45:00+00:00,2026-02,hype_reversal,4.0,0.0,192,113,29
28857,2026-02-25 14:15:00+00:00,2026-02,hype_momentum,4.0,0.0,192,113,29
29050,2026-02-27 14:30:00+00:00,2026-02,hype_reversal,4.0,0.0,192,113,29
29184,2026-03-01 00:00:00+00:00,2026-03,hype_reversal,-4.0,0.0,192,128,33
29412,2026-03-03 09:00:00+00:00,2026-03,btc_momentum,0.0,4.0,96,128,33
