month,log_return,turnover,max_drawdown_pct,return_pct
2025-06,0.0,0.0,0.0,0.0
2025-07,0.0,0.0,0.0,0.0
2025-08,0.20690534553161322,112.0,-54.81171276557826,22.986615394411693
2025-09,0.4989922057671346,68.0,-42.95429356704182,64.70605358919555
2025-10,-1.0307005282737296,144.0,-84.4406928797519,-64.32430453223277
2025-11,1.5213600115209533,108.0,-84.4841965414109,357.8447704467019
2025-12,-0.0022491709912428968,104.0,-69.9560095897069,-0.22466435014429909
2026-01,1.3647386730951365,122.0,-63.74838522180861,291.4699901901388
2026-02,0.697760475258133,98.0,-65.7760465790196,100.9247904649591
2026-03,0.4782060599963113,124.0,-45.52609959413919,61.31778605616236
2026-04,0.15689709305868718,68.0,-32.95232642199276,16.987521942575757
2026-05,-0.4298066320215416,104.0,-62.95758632256785,-34.93651054856344
